Released	Program Name	Program Revision	Approximate Date	Predecessor Name	Predecessor Revision	Known PCRs/PCNs/Software Anomaly Reports Incorporated Relative to Predecessor	References	Notes
	LUMINARY	0	1968-04-01	SUNDANCE	282	TBD	Missing LUMINARY Memo #20	
	LUMINARY	1-3	1968-04-08	LUMINARY	0	TBD	Missing LUMINARY Memo #21	
	LUMINARY	4	1968-04-15	LUMINARY	3	TBD (10)	LUMINARY Memo #22	
	LUMINARY	5	1968-04-15	LUMINARY	4	PCR-39, PCR-96, PCN-144.2, TBD (17)	LUMINARY Memo #22	
	LUMINARY	6	1968-04-15	LUMINARY	5	TBD (8)	LUMINARY Memo #22	
	LUMINARY	7	1968-04-22	LUMINARY	6	(none)	LUMINARY Memo #23	
	LUMINARY	8	1968-04-22	LUMINARY	7	TBD (20)	LUMINARY Memo #23	
	LUMINARY	9	1968-04-30	LUMINARY	8	TBD (4)	LUMINARY Memo #25	
	LUMINARY	10	1968-04-30	LUMINARY	9	TBD (12)	LUMINARY Memo #25	
	LUMINARY	11	1968-04-30	LUMINARY	10	(none)	LUMINARY Memo #25	
	LUMINARY	12	1968-05-14	LUMINARY	11	TBD (25)	LUMINARY Memo #28	
	LUMINARY	13	1968-05-14	LUMINARY	12	TBD (26)	LUMINARY Memo #28	
	LUMINARY	14	1968-05-14	LUMINARY	13	TBD (5)	LUMINARY Memo #28	
	LUMINARY	15	1968-05-14	LUMINARY	14	(none)	LUMINARY Memo #28	
	LUMINARY	16	1968-05-14	LUMINARY	15	TBD (4)	LUMINARY Memo #28	
	LUMINARY	17	1968-06-04	LUMINARY	16	TBD (38)	LUMINARY Memo #29	
	LUMINARY	18	1968-06-04	LUMINARY	17	TBD (30)	LUMINARY Memo #29	
	LUMINARY	19	1968-06-12	LUMINARY	18	(no changes)	LUMINARY Memo #31	
	LUMINARY	20	1968-06-12	LUMINARY	19	PCR-130, PCR-133, TBD (27)	LUMINARY Memo #31	
	LUMINARY	21	1968-06-12	LUMINARY	20	PCR-70, PCR-133, TBD (16)	LUMINARY Memo #31	
	LUMINARY	22	1968-06-12	LUMINARY	21	TBD (2)	LUMINARY Memo #31	
	LUMINARY	23	1968-06-12	LUMINARY	22	TBD (3)	LUMINARY Memo #31	
	LUMINARY	24	1968-06-12	LUMINARY	23	TBD (10)	LUMINARY Memo #31	
	LUMINARY	25	1968-06-12	LUMINARY	24	TBD (5)	LUMINARY Memo #31	
	LUMINARY	26	1968-06-12	LUMINARY	25	TBD (12)	LUMINARY Memo #31	
	LUMINARY	27	1968-07-15	LUMINARY	26	Y-43, Y-50, TBD (2)	LUMINARY Memo #34	
	LUMINARY	28	1968-07-15	LUMINARY	27	Y-47, TBD (1)	LUMINARY Memo #34	
	LUMINARY	29	1968-07-15	LUMINARY	28	PCN-466, Y-5, Y-19, Y-29, Y-39, Y-44, TBD (9)	LUMINARY Memo #34	
	LUMINARY	30	1968-07-15	LUMINARY	29	PCR-137, TBD (5)	LUMINARY Memo #34	
