0	TITLE	DRAWING	FIND	STRIKE
0.75 LONG (2)	INSULATION SLEEVING, ELEC. HEAT SHRINK	1010490-180	55	
1	SHLD & GROUND ASSY	1000020-2	54	
1	SHLD & GROUND ASSY	-1	53	
2	SCR, FLAT HD, SELF LKG, HEX SOC	1000104-3	52	
1	CONTACT	1001583	51	
1	CLIP, RETAINING	1000198	50	
0.3125 LONG (13)	INSULATION SLEEVING, ELEC.	1006776-16	49	
AR	TAPE, NYLON, WAXED, BLK	MIL-T-713 CLASS 2	48	
AR	GREASE, LUBRICATING	MIL-G-25760	47	
1	BRACKET, RETAINING	1001589	46	
20.0”	WIRE ELEC.	MIL-W-16878 E-28 ORN	45	
12.0”	WIRE ELEC.	MIL-W-16878 E-28 VIO	44	
30.0”	WIRE ELEC.	MIL-W-16878 E-28 BRN	43	
20.0”	WIRE ELEC.	MIL-W-16878 E-28 GRN	42	
5.0”	WIRE ELEC.	MIL-W-16878 E-28 BLU	41	
15.0”	WIRE ELEC.	MIL-W-16878 E-28 GY	40	
5.0”	WIRE ELEC.	MIL-W-16878 E-28 YEL	39	
38.0”	WIRE ELEC.	MIL-W-16878 E-28 RED	38	
10.0”	WIRE ELEC.	MIL-W-16878 E-28 WHT	37	
7.0”	WIRE ELEC.	MIL-W-16878 E-28 BLK	36	
AR	ADHESIVE, GOODYEAR CPA923A	MIL-A-13883	35	
0.75 LONG (2)	INSULATION SLEEVING, ELEC.	1006776-15	34	
0.3125 LONG (81)	INSULATION SLEEVING, ELEC.	-18	33	
6	CLAMP, TORQUE, MOTOR	1000087	32	
2	SCR, BUT. HD, SELF LKG, SPL. SOC	1000250-2	31	
6	SCR, CAP, SELF LKG, HEX HD. SOC	NAS1352CO2LL4	30	
3	SCR, BUT. HD, SELF LKG, SPL. SOC	1000250-13	29	
6	SCR, BUT. HD, SELF LKG, SPL. SOC	-15	28	
6	SCR, CAP, SELF LKG, HEX HD. SOC	NAS1352CO4LL4	27	
4	SCR, FLAT HD, SELF LKG, HEX SOC	1000104-17	26	
4	WASHER, FLAT, ROUND	1000254	25	
7	SCR, BUT. HD, SELF LKG, SPL. SOC	1000250-12	24	
6	SCR, BUT. HD, SELF LKG, HEX. SOC	1000093-25	23	
6	SCR, CAP, SOC HD. HEX	1000110-7	22	
AR	SOLDER	QQ-S-571 SN60 WARP2	21	
AR	SOLDER	QQ-S-571 SN10 WARP2	20	
0.3125 LONG (2)	INSULATION SLEEVING, ELEC.	1006776-9	19	
2	BUSHING, INSULATED	1000036	18	
6	TERMINAL, INSULATED	1000100-2	17	
6	TERMINAL, INSULATED	-1	16	
1	TERMINAL – LUG	MS25036-48	15	X
2	CONNECTOR, ELEC. RECP 29 CONT	1000116	14	
2	CONNECTOR, ELEC. PLUG 29 CONT	1000117	13	
2	BRACKET, CONNECTOR	1000125	12	
1	NUT, BEARING RETAINER	1000086	11	
1	RETAINER, BEARING I.A. & M.A.	1000090	10	
1	BEARING, BALL, DUPLEX	1000029	9	
1	GUIDE, WIRE, STUB SHAFT M.A.	1000152	8	
1	GUIDE, WIRE, BRG. HSG. M.A.	1000092	7	
1	MOTOR, TORQUE, DC, FRAMELESS	1000075	6	
1	LIMIT SWITCH, M.A.	1001590-011	5	
1	RESOLVER, 1X TRANSMITTER	1000030	4	
1	SLIP RING ASSY, ELEC, 40 CONT	1000037	3	
1	SHAFT, STUB 1X M.A.	1000105	2	
1	HOUSING, BEARING, 1X M.A.	1000106	1	
				
	PROOFED			
