0	TITLE	DRAWING	FIND
3	SHIELD & GROUND ASSY	1000020-2	42
3	SHIELD & GROUND ASSY	1000020-1	41
AR	GREASE,LUBRICATING	MIL-G-25760	40
AR	TAPE, NYLON, WAXED	MIL-T-713 TYPE P CLASS 2	39
0.3125 LONG (5)	INSULATION, SLEEVING, ELECT.	1006776-16	38
6	SCREW, CAP SELF LKG SOC HD HEX	NAS1352CO2LL4	37
4	WASHER, FLAT, ROUND	1000254	36
0.75 LONG (2)	INSULATION, SLEEVING, ELECT.	1006776-15	35
0.3125 LONG (78)	INSULATION, SLEEVING, ELECT.	-18	34
9.0” LONG	WIRE, ELEC	MIL-W-16878 E-28 BRN	33
12.0” LONG	WIRE, ELEC	MIL-W-16878 E-28 BLU	32
36.0” LONG	WIRE, ELEC	MIL-W-16878 E-28 RED	31
26.0” LONG	WIRE, ELEC	MIL-W-16878 E-28 YEL	30
10.0” LONG	WIRE, ELEC	MIL-W-16878 E-28 WHT	29
30.0” LONG	WIRE, ELEC	MIL-W-16878 E-28 BLK	28
AR	SOLDER	QQ-S-571 SN60 WARP2	27
1	GUIDE, WIRE, BRG MOUNT	1000112	26
2	BRACKET, CONNECTOR	1000125	25
1	CONNECTOR, ELECT., RECEP. 34 CONT.	1000119	24
2	CONNECTOR, ELECT., PLUG 29 CONT.	1000117	23
6	SCREW, BUT HD SELF LKG HEX SOC	1000093-25	22
AR	ADHESIVE, GOODYEAR CPA923A	MIL-A-13883	21
AR	SOLDER	QQ-S-571 SN10 WARP2	20
0.3125 LONG (2)	INSULATION, SLEEVING, ELECT.	1006776-9	19
6	CLAMP, TORQUE MOTOR	1000087	18
2	SCREW, BUT HD, SELF LKG, SPL SOC	1000250-2	17
2	BUSHING, INSULATOR	1000036	16
6	SCREW, CAP SOC HD, HEX	1000110-7	15
4	SCREW, BUT HD, SELF LKG, SPL SOC	1000250-12	14
6	SCREW, CAP SELF LKG SOC HD HEX	NAS1352CO4LL4	13
4	SCREW, FLAT HD, SELF LKG, HEX SOC	1000104-17	12
6	SCREW, BUT HD, SELF LKG, SPL SOC	1000250-15	11
10	TERMINAL, INSULATED	1000100-2	10
8	TERMINAL, INSULATED	-1	9
1	BEARING, BALL, DUPLEX	1000029	8
1	NUT, BEARING RETAINER	1000086	7
1	SLIP RING ASSY, ELEC, 40 CONTACT	1000037	6
1	RETAINER, BEARING, I.A.	1000090	5
1	MOTOR, TORQUE DC, FRAMELESS	1000075	4
1	RSVR ASSY, IX XMTR & GYRO ERROR	1000032	3
1	SHAFT, STUB IX INNER AXIS	1000057	2
1	HOUSING, BEARING IX INNER AXIS	1000095	1
			
	PROOFED		
