-21	-11	FIND	DRAWING	TITLE
1		15	1001553	BRAZING ASSY, CASE CENTER
12	12	14	1000115-2	INSERT, THREADED, SELF LKG
8	8	13	1000093-14	SCREW, BUT. HD, HEX SOC.
4	4	12	1000186	RETAINER, FASTENER
12	12	11	1000076-2	NUT, FLUSH MTD, CLINCH
12	12	10	1000115-3	INSERT, THREADED, SELF LKG
46	46	9	1000146	INSERT, THREADED, SELF LKG
12	12	8	1006783-45	SCREW, BUT. HD, HEX SOC.
8	8	7	NAS607-4-4	PIN, LOCATING, STRAIGHT, HDLS
2	2	6	1000088-2	PIN, LOCATING, STRAIGHT, HDLS
1	1	5	1000216	PAD, CASE MTG, 1 SPEED LH
1	1	4	1000215	PAD, CASE MTG, 1 SPEED RH
1	1	3	1000218	PAD, CASE MTG, 16 SPEED LH
1	1	2	1000217	PAD, CASE MTG, 16 SPEED RH
	1	1	1001553	BRAZING ASSY, CASE CENTER
				
				PROOFED
