0	TITLE	DRAWING	FIND
AR	INK, BLACK, FUNGUS PROOF	TT-I-558	19
AR	ADH, GOODYEAR CPA 923A	MIL-A-13883 B	18
AR	SOLDER (TIN LEAD SILVER)	QQ-S-571 SN10 WARP2	17
AR	TUBING INSULATOR ELECTRICAL	MIL-I-22129	16
6	SCREW, BUT HD SELF LKG SPL SOC	1000250-3	15
6	SCREW, BUT HD SELF LKG SPL SOC	1000250-14	14
6	SCREW, BUT HD SELF LKG SPL SOC	1000093-25	13
6	SCREW, CAP SOC HD HEX	1000110-7	12
2	TERMINAL, INSULATED	1000100-2	11
8	TERMINAL, INSULATED	1000100-1	10
2	BUSHING, INSULATOR	1000036	9
1	CLAMP, INNER 15X RESOLVER	1000084	8
1	CLAMP, OUTER RING 15X RESOLVER	1000079	7
1	NUT, BEARING RETAINER	1000086	6
1	RETAINER, BEARING I.A. & M.A.	1000090	5
1	BEARING, BALL DUPLEX	1000029	4
1	RESOLVER 16X TRANSMITTER	1000160	3
1	SHAFT, STUB 16X I.A. & M.A.	1000294	2
1	HOUSING, BEARING 15X I.A. & M.A.	1000052	1
			
	PROOFED		
