0	TITLE	DRAWING	FIND	NOTE
1	INSULATION CASE HEAT EXCH. (LH)	1001478	45	
1	INSULATION CASE HEAT EXCH. (RH)	1001477	44	
8	NUT, CLINCH, FLUSH-MOUNTED	1000076-1	43	
AR	SCREW, CAP, SOC HD, HEX	1000110	42	
AR	SCREW, CAP, SLF-KLG, SOC HD, HEX	NAS1352CO4LL	41	
AR	WEIGHT, BALANCE, OUTER GIMBAL	1000270	40	
AR	WEIGHT, BALANCE, OUTER GIMBAL	1000268	39	
AR	WEIGHT, BALANCE, OUT. & MID. GMBL.	1000263	38	
AR	WEIGHT, BALANCE, MID. GIMBAL	1000262	37	
AR	WEIGHT, BALANCE, MID. GIMBAL	1000261	36	
AR	WEIGHT, BALANCE, S/M	1000260	35	
AR	WEIGHT, BALANCE, S/M	1000259	34	
AR	WEIGHT, BALANCE, S/M	1000258	33	
AR	WEIGHT, BALANCE, S/M	1000214	32	
AR	WEIGHT, BALANCE, S/M	1000213	31	
			30	
1	IMU-CDU LOAD COMP MOD ASSY	1007050	29	
4	SCREW, BUT HD SELF LKG SPL SOC	1000250-1	28	
1	PLATE, INFORMATION	1000022	27	
1	PLATE, INFORMATION	1000023	26	
AR	LUBRICANT, DOW CORNING, NO. 55	MIL-G-4343	25	The original drawing calls out MIL-L-4343A, but I believe this is a misprint for MIL-G-4343.
1	PLATE, INFORMATION	1000024	24	
4	SCREW, BUT HD, SELF-LKG SPL SOC	1000250-13	23	
12	SCREW, CAP, SOC. HD, HEX	1000110-7	22	
12	SCREW, CAP, SOC. HD, HEX	1000110-307	21	
6	SCREW, CAP, SOC. HD, HEX	1000110-305	20	
2	"PACKING, PREFORMED, ""O"" RING"	1000159-6	19	
1	"PACKING, PREFORMED, ""O"" RING"	1000159-5	18	
1	VALVE, PRESSURE, ASSY.	1000234	17	
2	COUPLING, HALFQUICK DISCONNECT	1000135	16	
4	SPRING FASTENER	1000187	15	
4	COVER, SPRING FASTENER	1000185	14	
4	SCREW, FASTENER	1000188	13	
1	COVER ACCESS, RESOLVER MODULE	1000163	12	
1	"PACKING, PREFORMED, ""O"" RING"	1000159-3	11	
2	"PACKING, PREFORMED, ""O"" RING"	1000159-1	10	
2	"PACKING, PREFORMED, ""O"" RING"	1000159-2	9	
1	MT., CONN ASSY, I6-X OUTER AXIS	1000142	8	
1	MT. CONN ASSY, 1-X OUTER AXIS	1000099	7	
1	INTERGIMBAL SUB-ASSEMBLY, 16X, OUTER AXIS	1000205	6	
1	INTERGIMBAL SUB-ASSEMBLY, 1-X OUTER AXIS	1000006	5	
1	CASE, COVER, FIXED	1000081	4	
1	CASE, COVER, MOVABLE ASSY	1000082	3	
1	OUTER AXIS, ASSEMBLY	1000202	2	
1	MACHINE ASSY, CASE CENTER	1000085	1	
				
	PROOFED			
