0	TITLE	DRAWING	FIND	NOTE
7	WASHER, FLAT, ROUND	MS15795-703	30	
2	SLEEVING, HEAT SHRINK	1010490-078	29	
10	SCREW CAP SOC HD HEX	1000110-302	28	
AR	SOLDER	QQ-S-571 SN60 WARP2	27	
4	INSULATION SLEEVING	1006776-19	26	1 3/8 LONG
4	SCREW, BUT. HD. SELF LKG SPL SOC	1000250-12	25	
1	SCREW, CAP, SELF LKG, HEX HD. SOC	NAS1352CO4LL6	24	
28	SCREW, CAP, SELF LKG, HEX HD, SOC	NAS1352CO4LL4	23	
4	SCREW, CAP, SELF LKG, HEX HD, SOC	NAS1352CO2LL4	22	
12	SCREW CAP SOC HD HEX	1000110-7	21	
9	SCREW CAP SOC HD HEX	1000110-1	20	
9	WASHER, CABLE CLAMP	1000223	19	
4	CLAMP, CABLE	1000220-5	18	
1	CLAMP, CABLE	1000220-4	17	
4	CLAMP, CABLE	1000220-3	16	
1	WIRING HARNESS "C" O.A.	1000124	15	
1	WIRING HARNESS "B" O.A.	1000034	14	
1	CLIP, OUTER GIMBAL	1000244	13	
2	CLAMP, CAPACITOR, OUT. GIMBAL	1000235	12	
8	CLAMP, BLOWER	1000157	11	
4	COVER, BRACKET, CONNECTOR	1000143	10	
2	COVER, CONN. MT., OUTER GIMBAL	1000239	9	
2	CAPACITOR, FIXED	1010264-38	8	
2	SATURABLE REACTOR, BLOWER SPEED CONTROL	1000288	7	
1	REGULATOR, 28 VOLD DC	1007013	6	
2	BLOWER, VARIABLE SPEED	1000219	5	
2	FUSE, PIGTAIL, SUBMIN	1000170-10	4	
2	RESISTOR, FIXED	1010325-500	3	
1	HOUSING ASSY, OUTER GIMBAL	1000103	2	
1	MIDDLE AXIS ASSEMBLY	1000203	1	
				
	PROOFED			
