0	TITLE	DRAWING	FIND
2	CLAMP, CABLE	1000220-5	17
AR	SOLDER	QQ-S-571 SN60 WARP2	16
6	WASHER, CABLE CLAMP	1000223	15
2	CLAMP, CABLE	1000220-4	14
2	CLAMP, CABLE	1000220-3	13
4	SCREW, CAP, SELF LKG, HEX HD. SOC	NAS1352CO2LL4	12
6	SCREW, CAP, SOC HD, HEX	1000110-1	11
4	SCREW, BUT HD, SELF LKG, SPL SOC	1000250-12	10
16	SCREW, CP, SELF LKG, HEX HD, SOC	NAS1352CO4LL4	9
12	SCREW, CAP, SOC HD,HEX	1000110-7	8
4	COVER, BRACKET CONN	1000143	7
2	ADA PREAMP ASSY M.G.	1007022	6
2	ACCEL ANGULAR DIFFERENTIATING	1000097	5
1	INTERGIMBAL SUB-ASSY 16X M.A.	1000206	4
1	INTERGIMBAL SUB-ASSY 1X M.A.	1000008	3
1	INNER AXIS ASSY	1000204	2
1	HOUSING ASSY M.G.	1000074	1
			
	PROOFED		
