0	TITLE	DRAWING	FIND	STRIKE	NOTE
AR	TAPE, ADH, ELEC, PRESS. SENSITIVE	MIL-I-15126 1/2 WIDE	43		
2	SCREW, CAP, SOC. HD HEX.	NAS1352CO4-11	42		
AR	TAPE, NYLON, WAXED	MIL-T-713 TYPE P CLASS 2	41		
1	WIRE, ELEC. TYPE E-28, GY	1010416-9	40		60" TOTAL LG
1	WIRE, ELEC. TYPE E-28, VIO	1010416-8	39		68" TOTAL LG
1	WIRE, ELEC. TYPE E-28, BRN	1010416-2	38		60" TOTAL LG
1	WIRE, ELEC. TYPE E-28, BLU	1010416-7	37		14" TOTAL LG
1	WIRE, ELEC. TYPE E-28, YEL	1010416-5	36		14" TOTAL LG
1	WIRE, ELEC. TYPE E-28, RED	1010416-3	35		96" TOTAL LG
1	WIRE, ELEC. TYPE E-28, WHT	1010416-10	34		14" TOTAL LG
1	WIRE, ELEC. TYPE E-28, BLK	1010416-1	33		48" TOTAL LG
2	INSULATION, SLEEVING, ELEC., HEAT SHRINKABLE	1010490-180	32		3/4 LONG
6	INSULATION, SLEEVING, ELEC	1006776-16	31		5/16 LONG
5	INSULATION, SLEEVING, ELEC	1006776-16	30	X	3/8 LONG
55	INSULATION, SLEEVING, ELEC	1006776-18	29		5/16 LONG
54	INSULATION, SLEEVING, ELEC	1006776-14	28		3/8 LONG
AR	SOLDER	QQ-S-571 SN60 WARP 2	27		
AR	SOLDER	QQ-S-571 SN10 WARP 2	26		
4	SCREW, BUT HD SELF LKG SPL SOC	1000250-13	25		
10	SCREW, BUT HD SELF LKG SPL SOC	1000250-12	24		
2	SCREW, BUT HD SELF LKG SPL SOC	1000250-2	23		
4	SCREW, FT. HD. SELF-LKG HEX SOC.	1000104-17	22		
8	SCREW, CAP, SOC HD HEX	1000110-1	21		
6	SCREW, CAP SELF-LKG SOC. HD. HEX	NAS1352CO4LL4	20		
2	TERMINAL, LUG	1010717-1	19		
1	CONN, ELECT. RECEP., 32 PINS	1001492-2	18		
1	CONN, ELECT. RECEP., 32 PINS	1001492-1	17		
2	CLAMP, CABLE	1000220-3	16		
4	CLAMP, CABLE	1000220-5	15		
6	WASHER, CABLE CLAMP	1000223	14		
1	CLAMP, TRANSDUCER	1000256	13		
1	BRACKET, TRANSDUCER	1000257	12		
1	TRANSDUCER, ABS. PRESSURE	1000272	11		
6	WASHER, FLAT, ROUND	1000254	10		
1	GUIDE, WIRE, ASSY	1000156	9		
2	CONNECTOR, ELEC. RECEP, 29 CONT	1000116	8		
2	CONNECTOR, ELEC, RECEP, 9 CONT	1000221-1	7		
1	PRECISION RESOLVER ALIGN ASSY	1008283-011	6		
1	GUIDE, WIRE, STUB SHAFT, O.A.	1000151	5		
6	CLAMP, TORQUE MOTOR	1000087	4		
1	SLIP RING ASSY, ELEC, 50 CONT	1000038	3		
1	MOTOR, TORQUE, D.C., FRAMLESS	1000075	2		
1	16X RSVR ASSY OUTER AXIS	1000161	1		
					
	PROOFED				
