0	TITLE	DRAWING	FIND	NOTE
2	SHIELD & GROUND ASSEMBLY	1000020-2	26	
2	SHIELD & GROUND ASSEMBLY	1000020-1	25	
AR	TAPE, NYLON, WAXED, BLK	MIL-T-713 CLASS 2 TYPE P	24	
AR	SOLDER	QQ-S-571 SN10 WARP2	23	
2	SCR, BUT HD, SELF LKG, SPL SOC	1000250-2	22	
1	WIRE, ELEC TYPE E-28 BLU	MIL-W-16878	21	8" TOTAL LG
1	WIRE, ELEC TYPE E-28 YEL	MIL-W-16878	20	8" TOTAL LG
1	WIRE, ELEC TYPE E-28 RED	MIL-W-16878	19	16" TOTAL LG
1	WIRE, ELEC TYPE E-28 WHT	MIL-W-16878	18	5" TOTAL LG
1	WIRE, ELEC TYPE E-28 BLK	MIL-W-16878	17	30" TOTAL LG
2	INSULATION SLEEVING, ELEC, HEAT SHRINK	1010490-180	16	3/4 LG
86	INSULATION SLEEVING, ELEC	1006776-18	15	5/16 LG
AR	SOLDER	QQ-S-571 SN60 WARP2	14	
4	SCR, FLT HD, SELF LKG, HEX SOC	1000104-17	13	
6	SCR, CAP, SELF LKG, HEX SOC	NAS1352C04LL4	12	
7	SCR, BUT HD, SELF LKG, SPL SOC	1000250-12	11	
4	WASHER, FLAT, ROUND	1000254	10	
6	CLAMP, TORQUE MOTOR	1000087	9	
2	CONNECTOR, ELEC, RECEP, 29 CONT	1000116	8	
2	CONNECTOR, ELEC, PLUG, 29 CONT	1000117	7	
2	BRACKET, CONNECTOR, ELEC	1000125	6	
1	GUIDE, WIRE, STUB SHAFT MA	1000152	5	
1	GUIDE, WIRE, BEARING HSG MA	1000092	4	
1	MOTOR, TORQUE, DC FRAMELESS	1000075	3	
1	SLIP RING ASSY, ELEC, 40 CONT	1000037	2	
1	16X RESOLVER ASSY IA & MA	1000162	1	
				
	PROOFED			
