0	TITLE	DRAWING	FIND	STRIKE	NOTE
2	INSULATION SLEEVING, ELEC. HEAT SHRINK	1010490-180	27		3/4 LONG
1	TERMINAL LUG	1010717-1	26		
1	WIRE, ELEC, TYPE E-28 BLK	1010416-1	25		23" TOT. LG
1	WIRE, ELEC, TYPE E-28 WHT	1010416-10	24		8" TOT. LG
1	WIRE, ELEC, TYPE E-28 RED	1010416-3	23		12" TOT. LG
1	WIRE, ELEC, TYPE E-28 YEL	1010416-5	22		10" TOT. LG
1	WIRE, ELEC, TYPE E-28 BLU	1010416-7	21		8" TOT. LG
1	WIRE, ELEC, TYPE E-28 BRN	1010416-2	20		3" TOT. LG
7	INSULATION, SLEEVING, ELEC	1006776-16	19		5/16 LONG
AR	TAPE, NYLON, WAXED, BLK	MIL-T-713 CLASS 2 TYPE P	18		
AR	SOLDER	QQ-S-571 SN60 WARP2	17		
1	CONNECTOR, ELEC, RECEP, 34 CONT	1000119	16		
73	INSULATION SLEEVING, ELEC.	1006776-18	15		5/16 LONG
2	BRACKET, CONNECTOR, ELEC.	1000125	14		
2	CONNECTOR, ELEC, PLUG, 29 CONT	1000117	13		
1	GUIDE, WIRE, BRG, HSG, I.A.	1000112	12		
4	SCREW, BUT HD, SELF LKG, SPL SOC	1000250-12	11		
4	WASHER, FLAT, ROUND	1000254	10		
AR	SOLDER	QQ-S-571 SN10 WARP2	9		
2	INSULATION SLEEVING, ELEC.	1006776-15	8	X	3/4 LONG
2	SCR, BUT HD, SELF LKG, SPL SOC	1000250-2	7		
6	SCR, CAP, SELF LKG, HEX, SOC	NAS1352C04LL4	6		
4	SCR, FLAT HD, SELF LKG, HEX SOC	1000104-17	5		
6	CLAMP, TORQUE MOTOR	1000087	4		
1	SLIP RING ASSY, ELEC, 40 CONT	1000037	3		
1	MOTOR, TORQUE, DC, FRAMELESS	1000075	2		
1	16X RSVR ASSY INNER & MIDDLE AXIS	1000162	1		
					
	PROOFED				
