0	TITLE	DRAWING	FIND	NOTE
AR	WIRE, AWG 30	1006711-13	13	
AR	FIBER SHEET	MIL-I-695A .007 GRAY TYPE F 250V/MIL	12	
1	RESISTOR, SAT	1010694	11	PER ATP 1000284 5K TO 15K OHMS
X	WIRING ASSEMBLY	1001636	REF	
X	SCHEMATIC	1001650	REF	
3	RESISTOR, SAT	1010694	10	PER ATP 1000284 17.8K TO 30.1K OHMS
2	RESISTOR, SAT	1010694	9	PER ATP 1000284 17.8K TO 30.1K OHMS
10	DIODE, 500 PIV 3.4W	1010497	8	
1	REACTOR	1001540	7	
1	REACTOR	1001550	6	
1	TRANSFORMER, POWER	1001549	5	
1	PRINTED CIRCUIT ASSEMBLY	1001626	4	
1	CASE ASSEMBLY	1001548	3	
1	COVER ASSEMBLY	1001547	2	
1	PLATE – IDENTIFICATION	1001543	1	
				
	PROOFED			
