-11	0	TITLE	DRAWING	FIND	NOTE
X	X	SCHEMATIC	1001622	REF	
X	X	WIRING ASSEMBLY	1001619	REF	
AR	AR	WIRE AWG 30	1006711-13	11	
AR	AR	FIBER SHEET	MIL-I-695A .007 GRAY TYPE F 250V/MIL	10	
1	1	RESISTOR, SAT	1010694	9	PER ATP 1000286 500 OHMS TO 10K OHMS
1	1	RESISTOR, SAT	1010695	8	PER ATP 1000286 90K TO 110K OHMS
1	1	RESISTOR, SAT	1010695	7	PER ATP 1000286 90K TO 110K OHMS
1	1	TRANSFORMER	1001623	6	
1	1	REACTOR ASSEMBLY	1001620	5	
1	1	PRINTED CIRCUIT BOARD ASSEMBLY	1001618	4	
1	1	CASE ASSEMBLY	1001647	3	
1	1	COVER ASSEMBLY	1001616	2	
1	1	PLATE – IDENTIFICATION	1001543	1	
					
		PROOFED			
