0	TITLE	DRAWING	FIND	NOTE
AR	WIRE AWG 30	1006711-13	13	
AR	FIBER SHEET	MIL-I-695A .007 GRAY TYPE F 250V/MIL	12	
X	SCHEMATIC DIAGRAM	1001627	REF	
1	DIODE 5.8V 250MW	1010439-2	10	
2	DIODE 500PIV 3.4W	1010497	9	
2	CAPACITOR 4.7MF 10V	1006755-10	8	
2	RESISTOR	1010693-97	7	
1	RESISTOR, SAT	1010694	6	PER ATP 1000287 1K TO 4K OHMS.
1	TRANSFORMER ASSEMBLY	1001629	5	
X	WIRING ASSEMBLY	1001628	REF	
1	CASE ASSEMBLY	1001631	3	
1	COVER ASSEMBLY	1001632	2	
1	PLATE – IDENTIFICATION	1001543	1	
				
	PROOFED			
