-111	-91	-81	-71	-61	-51	-41	-31	-21	-11	TITLE	DRAWING	FIND	NOTE
1										OUTER AXIS ASSEMBLY	1001501-111	64	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	SEALING COMPOUND, SILICONE RUBBER	1006338-000	63	
	1									OUTER AXIS ASSEMBLY	1001501-091	62	
		1								OUTER AXIS ASSEMBLY	1001501-081	61	
			1							OUTER AXIS ASSEMBLY	1001501-071	60	
				1						OUTER AXIS ASSEMBLY	1001501-061	59	
					1					OUTER AXIS ASSEMBLY	1001501-051	58	
						1				OUTER AXIS ASSEMBLY	1001501-041	57	
8	8			8			8			NUT, CLINCH PLAIN	1010861-6	56	
4	4	4	4	4	4	4	4	4	4	SCREW, BUT. HD, SELF LKG. SPL SOC	1000250-12	55	Listed as 100250-12 in the original drawing.
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	TAPE, ADH, ELEC, 1/2 WIDE	MIL-I-15126 TYPE ACT	54	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	WEIGHT, BALANCE S/M	1021405	53	
4	4	4	4	4	4	4	4	4	4	WASHER, CABLE CLAMP	1000223	52	
1	1	1	1	1	1	1	1	1	1	CLAMP, CABLE	1000220-6	51	
3	3	3	3	3	3	3	3	3	3	CLAMP, CABLE	1000220-5	50	
1	1	1	1	1	1	1	1	1	1	IMU-CDU LOAD COMP MOD	1007550	49	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	ADHESIVE	1010838	48	
1	1	1	1	1	1	1	1	1	1	INSULATION CASE HXCHR RH	1001477	47	
1	1	1	1	1	1	1	1	1	1	INSULATION CASE HXCHR LH	1001478	46	
1	1			1			1			INTERGIMBAL SUB-ASSY 1X OA	1001506-2	45	
							1			OUTER AXIS ASSEMBLY	1001501-031	44	
		8	8		8	8		8	8	NUT, CLINCH, FLUSH-MOUNTED	1000076-1	43	
		AR	AR		AR	AR		AR	AR	SCREW, CAP, SOC HD, HEX	1001489	42	
AR	AR			AR			AR			SCREW, CAP, SLF-LKG, SOC HD, HEX	1001488	41	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	WEIGHT, BALANCE, OUTER GIMBAL	1000270	40	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	WEIGHT, BALANCE, OUTER GIMBAL	1000268	39	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	WEIGHT, BALANCE OUT. & MID. GMBL.	1000263	38	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	WEIGHT, BALANCE, MID. GIMBAL	1000262	37	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	WEIGHT, BALANCE, MID. GIMBAL	1000261	36	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	WEIGHT, BALANCE, S/M	1000260	35	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	WEIGHT, BALANCE, S/M	1000259	34	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	WEIGHT, BALANCE, S/M	1000258	33	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	WEIGHT, BALANCE, S/M	1000214	32	
