-91	-81	-71	-61	-51	-41	-31	-21	-11	TITLE	DRAWING	FIND	NOTE
1									MIDDLE AXIS ASSEMBLY	1001502-061	42	
	1								MIDDLE AXIS ASSEMBLY	1001502-051	41	
		1							MIDDLE AXIS ASSEMBLY	1001502-041	40	
2	2	2	2	2	2				RESISTOR R5 AND R6	1010928-347	39	
	2			2			2		WASHER, FLAT ROUND	MS15795-303	38	
9			9			9			SCREW CAP. SOC HD HEX S.L.	1001488-1	37	
1			1			1			HOUSING ASSY OUTER GIMBAL	1000103-011	36	
AR	AR	AR	AR	AR	AR	AR	AR	AR	TAPE, ADH. ELEC. PRESSURE SENS	MIL-I-15126 TYPE ACT	35	1/2 WIDE
1	6	8	1	6	8	1	6	8	WASHER, FLAT ROUND	MS15795-703	34	
			1			1			MIDDLE AXIS ASSEMBLY	1001502-031	33	
				1			1		MIDDLE AXIS ASSEMBLY	1001502-021	32	
AR	AR	AR	AR	AR	AR	AR	AR	AR	TAPE NYLON WAXED	MIL-T-713 TYPE P CL2	31	
2	2	2	2	2	2	2	2	2	INSUL., SLEEVING ELEC. HT-SHRINK	1010490-202	30	7/8 LONG
2	2	2	2	2	2	2	2	2	SLEEVING, HEAT SHRINK	1010490-078	29	
10	10	10	10	10	10	10	10	10	SCREW CAP SOC HD HEX	1000110-302	28	
AR	AR	AR	AR	AR	AR	AR	AR	AR	SOLDER	QQ-S-571 SN60 WARP2	27	
4	4	4	4	4	4	4	4	4	INSULATION SLEEVING	1006776-19	26	1 3/8 LONG
4	4	4	4	4	4	4	4	4	SCREW, BUT. HD. SELF LKG SPL SOC	1000250-12	25	
1	1	1	1	1	1	1	1	1	SCREW, CAP, SELF LKG, HEX HD, SOC	NAS1352CO4LL6	24	
28	28	28	28	28	28	28	28	28	SCREW, CAP, SELF LKG, HEX HD, SOC	NAS1352CO4LL4	23	
4	4	4	4	4	4	4	4	4	SCREW, CAP, SELF LKG, HEX HD, SOC	NAS1352CO2LL4	22	
12	12	12	12	12	12	12	12	12	SCREW, CAP SOC HD HEX	1000110-7	21	
	9	9		9	9		9	9	SCREW, CAP SOC HD HEX	1000110-1	20	
8	8	8	8	8	8	8	8	8	WASHER, CABLE, CLAMP	1000223	19	
4	4	4	4	4	4	4	4	4	CLAMP, CABLE	1000220-5	18	
1	1	1	1	1	1	1	1	1	CLAMP, CABLE	1000220-4	17	
4	4	4	4	4	4	4	4	4	CLAMP, CABLE	1000220-3	16	
1	1	1	1	1	1	1	1	1	WIRING HARNESS "C" O.A.	1000124	15	
1	1	1	1	1	1	1	1	1	WIRING HARNESS "B" O.A.	1000034	14	
1	1	1	1	1	1	1	1	1	CLIP, OUTER GIMBAL	1000244	13	
2	2	2	2	2	2	2	2	2	CLAMP, CAPACITOR, OUT. GIMBAL	1000235	12	
8	8	8	8	8	8	8	8	8	CLAMP, BLOWER	1000157	11	
4	4	4	4	4	4	4	4	4	COVER, BRACKET, CONNEXTOR	1000143	10	
2	2	2	2	2	2	2	2	2	COVER, CONN. MT., OUTER GIMBAL	1000239	9	
2	2	2	2	2	2	2	2	2	CAPACITOR, FIXED	1010264-38	8	
2	2	2	2	2	2	2	2	2	SATURABLE REACTOR, BLOWER SPEED CONTROL	1000288	7	
1	1	1	1	1	1	1	1	1	REGULATOR, 28 VOLT DC	1007013	6	
2	2	2	2	2	2	2	2	2	BLOWER, VARIABLE SPEED	1000219	5	
2	2	2	2	2	2	2	2	2	FUSE, PIGTAIL, SUBMIN	1000170-10	4	
						2	2	2	RESISTOR, FIXED	1010325-500	3	
	1	1		1	1		1	1	HOUSING ASSY, OUTER GIMBAL	1000103	2	
					1			1	MIDDLE AXIS ASSEMBLY	1001502-011	1	
												
									PROOFED			
