-61	-51	-41	-31	-21	-11	TITLE	DRAWING	FIND	NOTE
1						INNER AXIS ASSY	1001503-061	27	
	1					INNER AXIS ASSY	1001503-051	26	
		1				INNER AXIS ASSY	1001503-041	25	
	1			1		INTERGIMBAL SUB-ASSY 1X, MA	1001508-3	24	
6			6			SCREW, SOC. HD. HEX, S.L.	1001488-1	23	
			1			HOUSING ASSY M.G.	1000074-011	22	
AR	AR	AR	AR	AR	AR	TAPE ADHESIVE ELEC PRESSURE SENSITIVE	MIL-I-15126 TYPE ACT	21	1/2" WIDE
			1			INNER AXIS ASSY	1001503-031	20	
				1		INNER AXIS ASSY	1001503-021	19	
		1			1	INTERGIMBAL SUB-ASSY 1X, MA	1001508-1	18	
2	2	2	2	2	2	CLAMP, CABLE	1000220-5	17	
AR	AR	AR	AR	AR	AR	SOLDER	QQ-S-571 SN50 WARP 2	16	
6	6	6	6	6	6	WASHER, CABLE CLAMP	1000223	15	
2	2	2	2	2	2	CLAMP, CABLE	1000220-4	14	
2	2	2	2	2	2	CLAMP, CABLE	1000220-3	13	
4	4	4	4	4	4	SCREW, CAP, SELF LKG, HEX HD. SOC	NAS1352CO2LL4	12	
	6	6		6	6	SCREW, CAP, SOC HD, HEX	1000110-1	11	
4	4	4	4	4	4	SCREW, BUT HD, SELF LKG, SPL SOC	1000250-12	10	
16	16	16	16	16	16	SCREW, CAP, SELF LKG, HEX HD. SOC	NAS135CO4LL4	9	
12	12	12	12	12	12	SCRE, CAP. SOC. HD., HEX	1000110-7	8	
4	4	4	4	4	4	COVER, BRACKET CONN	1000143	7	
2	2	2	2	2	2	ADA PREAMP ASSY M.G.	1007255-0	6	
2	2	2	2	2	2	ACCEL. ANGULAR DIFFERENTIATING	1000097	5	
1	1	1	1	1	1	INTERGIMBAL SUB-ASSY 16X M.A.	1000206	4	
1			1			INTERGIMBAL SUB-ASSY 1X M.A.	1001508-2	3	
					1	INNER AXIS ASSY	1001503-011	2	
	1	1		1	1	HOUSING ASSY M.G.	1000074	1	
									
						PROOFED			
