-2	-1	TITLE	DRAWING	FIND	NOTE
1	1	RING FOAM	1001515-2	59	
	1	SPACER, RING	1001523	58	
	1	RETAINER, RING, FRICTION (MOD)	1001524	57	
	1	SHAFT, STUB 1X MIDDLE AXIS (MOD)	1001521	56	
2	2	INS SLV ELEC HEAT SHRINK	1010490-180	55	3/4 LG
1	1	SHLD & GROUND ASSY	1000020-2	54	
1	1	SHLD & GROUND ASSY	1000020-1	53	
2	2	SCR FLAT HD SELF LKG	1000104-3	52	
3	3	SCR BUT HD SELF LKG	1000250-13	51	
1	1	LIMIT SWITCH M.A.	1001590	50	
13	13	INSULATION, SLEEVING, ELEC.	1006776-16	49	5/16 LG
AR	AR	TAPE, NYLON, WAXED	MIL-T-713 TYP CL2	48	
AR	AR	GREASE, LUB (BEACON 325)	MIL-G-3278	47	
1	1	BRACKET, RETAINING	1001589	46	
1	1	WIRE ELEC, TYPE E-28 ORN	1010416-4	45	20" TOTAL LG
1	1	WIRE ELEC, TYPE E-28 VIO	1010416-8	44	12" TOTAL LG
1	1	WIRE ELEC, TYPE E-28 BRN	1010416-2	43	30" TOTAL LG
1	1	WIRE ELEC, TYPE E-28 GRN	1010416-6	42	20" TOTAL LG
1	1	WIRE ELEC, TYPE E-28 BLU	1010416-7	41	5" TOTAL LG
1	1	WIRE ELEC, TYPE E-28 GY	1010416-9	40	15" TOTAL LG
1	1	WIRE ELEC, TYPE E-28 YEL	1010416-5	39	5" TOTAL LG
1	1	WIRE ELEC, TYPE E-28 RED	1010416-3	38	38" TOTAL LG
1	1	WIRE ELEC, TYPE E-28 WHT	1010416-10	37	10" TOTAL LG
1	1	WIRE ELEC, TYPE E-28 BLK	1010416-1	36	12" TOTAL LG
AR	AR	ADHESIVE, GOODYEAR CPA923A	MIL-A-13883	35	
1	1	CONTACT	1001583	34	
81	81	INSULATION SLEEVING, ELEC	1006776-18	33	5/16 LG
6	6	CLAMP, TORQUE MOTOR	1000087	32	
2	2	SCR, BUT. HD, SELF LKG, SPL. SOC	1000250-2	31	
6	6	SCR, CAP, SELF LKG, HEX HD. SOC	NAS1352CO2LL4	30	
1	1	RING FOAM	1001515-1	29	
6	6	SCR, BUT. HD, SELF LKG, SPL SOC	1000250-15	28	
6	6	SCR, CAP, SELF LKG, HEX HD, SOC	NAS1352CO4LL4	27	
4	4	SCR, FLAT HD, SELF LKG, HEX. SOC	1000104-17	26	
4	4	WASHER, FLAT, ROUND	1000254	25	
7	7	SCR, BUT. HD, SELF LKG, SPL SOC	1000250-12	24	
6	6	SCR, BUT. HD, SELF LKG, HEX. SOC	1000093-25	23	
6	6	SCR, CAP, SOC HD, HEX	1000110-7	22	
AR	AR	SOLDER	QQ-S-571 SN60 WARP2	21	
AR	AR	SOLDER	QQ-S-571 SN10 WARP2	20	
2	2	INSULATION SLEEVING, ELEC	1006776-9	19	5/16 LG
2	2	BUSHING, INSULATED	1000036	18	
6	6	TERMINAL, INSULATED	1000100-2	17	
6	6	TERMINAL, INSULATED	1000100-1	16	
1	1	CLIP, RETAINING	1000198	15	
2	2	CONNECTOR, ELEC, RECP 29 CONT	1000116	14	
2	2	CONNECTOR, ELEC, PLUG 29 CONT	1000117	13	
2	2	BRACKET, CONNECTOR	1000125	12	
1	1	ASSY, RING, FRICTION	1001516	11	
1	1	RETAINER, BEARING I.A. & M.A.	1001481	10	
1	1	BEARING, BALL, DUPLEX	1001483	9	
1	1	GUIDE, WIRE, STUB SHAFT M.A.	1000152	8	
1	1	GUIDE, WIRE, BRG. HSG. M.A.	1000092	7	
1	1	MOTOR, TORQUE, DC, FRAMLESS	1000075	6	
1		RETAINER, RING, FRICTION	1001513	5	
1	1	RSVR ASSY, 1X XMTR & PITCH-YAW	1000030	4	
1	1	SLIP RING ASSY, ELEC, 40 CONT	1000037	3	
1		SHAFT, STUB, 1X MIDDLE AXIS	1001482	2	
1	1	HOUSING, BEARING, 1X INNER AXIS	1000106	1	
					
		PROOFED			
