-2	-1	TITLE	DRAWING	FIND	NOTE
	1	SPACER, RING	1001523	47	
	1	RETAINER, RING, FRICTION (MOD)	1001524	46	
	1	SHAFT, STUB 1X INNER AXIS (MOD)	1001522	45	
2	2	RING, FOAM	1001515	44	
2	2	INSULATION SLEEVING, ELEC HEAT SHRINK	1010490-180	43	3/4 LONG
3	3	SHIELD, GROUND ASSY	1000020-2	42	
3	3	SHIELD, GROUND ASSY	1000020-1	41	
AR	AR	GREASE, LUBRICATING (BEACON 325)	MIL-G-3278	40	
AR	AR	TAPE, NYLON, WAXED	MIL-T-713 TY. P CL. 2	39	
5	5	INSULATION SLEEVING, ELECT.	1006776-16	38	5/16 LONG
6	6	SCREW, CAP, SELF KLG SOC HD HEX	NAS1352CO2LL4	37	
4	4	WASHER, FLAT, ROUND	1000254	36	
1	1	ASSEMBLY, RING FRICTION	1001516	35	
78	78	INSULATION SLEEVING, ELEC	1006776-18	34	3/16 LONG
1	1	WIRE ELEC TYPE E-28 BRN	MIL-W-16878	33	9" LONG
1	1	WIRE ELEC TYPE E-28 BLU	MIL-W-16878	32	12" LONG
1	1	WIRE ELEC TYPE E-28 RED	MIL-W-16878	31	36" LONG
1	1	WIRE ELEC TYPE E-28 YEL	MIL-W-16878	30	26" LONG
1	1	WIRE ELEC TYPE E-28 WHT	MIL-W-16878	29	10" LONG
1	1	WIRE ELEC TYPE E-28 BLK	MIL-W-16878	28	30" LONG
AR	AR	SOLDER	QQ-S-571 SN60 WAR P2	27	
1	1	GUIDE, WIRE, BRG MOUNT	1000112	26	
2	2	BRACKET, CONNECTOR	1000125	25	
1	1	CONNECTOR, ELECT., RECEP. 34 CONT.	1000119	24	
2	2	CONNECTOR, ELECT, PLUG 29 CONT	1000117	23	
6	6	SCREW, BUT HD SELF LKG HEX SOC	1000093-25	22	The final digit of the p/n is not legible on any available revision of the original drawing, and drawing 1000093 is not available.  However, no other drawing 100009x is a screw.
AR	AR	GOODYEAR CPA923A	MIL-A-13883	21	The p/n is illegible on all available revisions of the original drawing.
AR	AR	SOLDER	QQ-S-571 SN10 WARP2	20	
2	2	INSULATION SLEEVING, ELEC	1006776-9	19	5/16 LONG
6	6	CLAMP, TORQUE MOTOR	1000087	18	
2	2	SCREW, BUT HD, SELF LKG, SPL SOC	1000250-2	17	
2	2	BUSHING, INSULATOR	1000036	16	
6	6	SCREW, CAP SOC HD, HEX	1000110-7	15	
4	4	SCREW, BUT HD, SELF KLG, SPL SOC	1000250-12	14	
6	6	SCREW, CAP, SELF KLKG, SOC HD, HEX	NAS1352C04LL4	13	
4	4	SCREW, FLAT HD, SELF LKG, HEX SOC	1000104-17	12	
6	6	SCREW, BUT HD, SELF LKG, SPL SOC	1000250-15	11	
10	10	TERMINAL, INSULATED	1000100-2	10	
8	8	TERMINAL, INSULATED	1000100-1	9	
1	1	BEARING, BALL, DUPLEX, SPL	1001483	8	
1		RETAINER, RING, FRICTION	1001513	7	
1	1	SLIP RING ASSY, ELEC, 40 CONTACT	1000037	6	
1	1	RETAINER, BEARING, I.A.	1001481	5	
1	1	MOTOR, TORQUE, DC, FRAMELESS	1000075	4	
1	1	RSVR ASSY, 1X XMTR & GYRO ERROR	1000032	3	
1	1	SHAFT, STUB 1X INNER AXIS	1001484	2	
1	1	HOUSING, BEARING 1X INNER AXIS	1000095	1	
					
		PROOFED			
