0	TITLE	DRAWING	FIND
X	WIRING ASSEMBLY	1001602	REF
X	SCHEMATIC	1001612	REF
			
1	RESISTOR	1010694 SEE DRAWING NOTE 20	21
1	RESISTOR	1010694 SEE DRAWING NOTE 21	20
1	RESISTOR	1010694 SEE DRAWING NOTE 20	19
1	RESISTOR, THERMAL	1010434-3	18
			
AR	GRAY FIBER SHEET	MIL-I-695 A, TYPE F	17
			
1	RESISTOR	1010694 SEE DRAWING NOTE 12	16
1	RESISTOR	1010694 SEE DRAWING NOTE 11	15
1	RESISTOR	1010694 SEE DRAWING NOTE 13	14
1	RESISTOR	1010694 SEE DRAWING NOTE 10	13
1	RESISTOR	1010694 SEE DRAWING NOTE 2	12
1	RESISTOR	1010694 SEE DRAWING NOTE 2	11
1	RESISTOR	1010693 SEE DRAWING NOTE 18	10
1	RESISTOR	1010694 SEE DRAWING NOTE 14	9
8	DIODE	1010497	8
1	TRANSFORMER	1001605	7
1	REACTOR (SECOND STAGE)	1001603	6
1	REACTOR (FIRST STAGE)	1001604	5
1	PRINTED CIRCUIT BOARD ASSY	1001611	4
1	CASE ASSEMBLY	1001607	3
1	COVER ASSEMBLY	1001608	2
1	PLATE – IDENTIFICATION	1001543	1
			
	PROOFED		
