STRIKE	FIND	QTY	TITLE	-1	-2	-3	-4	-5	-6	-7	-8	-9	-10	-11	-12	-13	-14	-15	-16	-17	-18	-19	-20	-21	-22	-23	-24	-25	-26	-27
	15	AR	INSULATION TAPE, ELECTRICAL	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3
	14	60	INSULATOR	1004627	1004627,55	1004627,55	1004627,56	1004627,59	1004627,41	1004627,54	1004627,59	1004627,58	1004627	1004627,52	1004627,54	1004627,59	1004627,52	1004627,57	1004627,59	1004627,57	1004627,59	1004627,59	1004627,59	1004627,56	1004627,55	1004627	1004627,55	1004627,53	1004627,57	1004627,54
	13	60	MICRO-NOR GATE (TO-47)	1006771	1006771,55	1006771,55	1006771,56	1006771,59	1006771,41	1006771,54	1006771,59	1006771,58	1006771	1006771,52	1006771,54	1006771,59	1006771,52	1006771,57	1006771,59	1006771,57	1006771,59	1006771,59	1006771,59	1006771,56	1006771,55	1006771	1006771,55	1006771,53	1006771,57	1006771,54
	12	2	HOUSING, MICROLOGIC (TO-49)	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658
	11	AR	WIRE, ELECTRICAL .020 DIA	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8
	10	AR	INSULATION, SLEEVING	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21
	9	1	INSULATOR, STICK	1004170-1	1004173-1	1004172-1	1004186-1	1004183-1	1004175-1	1004185-1	1004184-1	1004179-1	1004174-1	1004182-1	1004189-1	1004178-1	1004176-1	1004177-1	1004171-1	1004187-1	1004180-1	1004181-1	1004180-1	1004187-1	1004172-1	1004174-1	1004173-1	1004182-1	1004186-5	1004189-1
	8	1	INSULATOR, STICK	1004170-3	1004173-3	1004172-3	1004186-3	1004183-3	1004175-3	1004185-3	1004184-3	1004179-3	1004174-3	1004182-3	1004189-3	1004178-3	1004176-3	1004177-3	1004171-3	1004187-3	1004180-3	1004181-3	1004180-3	1004187-3	1004172-3	1004174-3	1004173-3	1004182-3	1004186-3	1004189-5
	7	1	.800 MATRIX ASSEMBLY (7)				'1003064-68	'1003064-56		'1003064-64																			'1003064-68	
	6	1	.800 MATRIX ASSEMBLY (5)	'1003064-3	'1003064-15	'1003064-11	'1003064-67	'1003064-55	'1003064-59	'1003064-63	'1003064-23	'1003064-39	'1003064-19	'1003064-61	'1003064-75	'1003064-35	'1003064-27	'1003064-31	'1003064-7	'1003064-71	'1003064-43	'1003064-47	'1003064-76	'1003064-78	'1003064-89	'1003064-19	'1003064-92	'1003064-94	'1003064-95	'1003064-75
	5	1	1.400 MATRIX ASSEMBLY (3)	'1003063-2	'1003063-8	'1003063-6	'1003063-34	'1003063-28	'1003063-12	'1003063-32	'1003063-30	'1003063-20	'1003063-10	'1003063-26	'1003063-38	'1003063-18	'1003063-14	'1003063-16	'1003063-4	'1003063-36	'1003063-22	'1003063-24	'1003063-22	'1003063-40	'1003063-42	'1003063-46	'1003063-8	'1003063-48	'1003063-49	'1003063-38
	4	AR	WIRE, ELECTRICAL, NICKEL .005 X .020	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7
	3	AR	WIRE, ELECTRICAL, KOVAR	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402
	2	1	GROUND PLANE	1004100	1004100	1004100	1004100,2	1004100,2	1004100	1004100,2	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100,2	1004100
X	1	SEE CHART	TO-47 HOUSING SUB-ASSEMBLY (000)	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART	SEE CHART
																														
			PROOFED																											
