FIND	STRIKE	QTY	TITLE	-1	-2	-3	-4	-5	-6	-7	-8	-9	-10	-11	-12	-13	-14	-15	-16	-17	-18	-19	-20	-21	-22	-23	-24	-25	-26	-27
15		AR	INSULATION TAPE, ELECTRICAL	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3	1006826-3
14		60	INSULATOR	1004627,56	1004627	1004627,50	1004627,54	1004627,47	1004627,49	1004627,52	1004627,57	1004627,58	1004627,58	1004627,57	1004627	1004627,58	1004627,58	1004627,58	1004627,58	1004627,56	1004627	1004627,58	1004627,58	1004627,53	1004627,50	1004627,45	1004627,57	1004627,58	1004627	1004627
13		60	MICRO-NOR GATE (TO-47)	1006771,56	1006771	1006771,50	1006771,54	1006771,47	1006771,49	1006771,52	1006771,57	1006771,58	1006771,58	1006771,57	1006771	1006771,58	1006771,58	1006771,58	1006771,58	1006771,56	1006771	1006771,58	1006771,58	1006771,53	1006771,50	1006771,45	1006771,57	1006771,58	1006771	1006771
12		2	HOUSING, MICROLOGIC	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658	1004658
11		AR	WIRE, ELECTRICAL .020 DIA	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8
10		AR	INSULATION, SLEEVING	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21
9		1	INSULATOR, STICK	1004170-2	1004173-2	1004172-2	1004186-2	1004183-2	1004175-2	1004185-2	1004184-2	1004179-2	1004174-2	1004182-2	1004189-2	1004178-2	1004176-2	1004177-2	1004171-2	1004187-2	1004180-2	1004181-2	1004179-2	1004187-2	1004172-2	1004183-2	1004181-2	1004174-2	1004182-2	1004189-2
8		1	INSULATOR, STICK	1004170-4	1004173-4	1004172-4	1004186-4	1004183-4	1004175-4	1004185-4	1004184-4	1004179-4	1004174-4	1004182-4	1004189-4	1004178-4	1004176-4	1004177-4	1004171-4	1004187-4	1004180-4	1004181-4	1004179-4	1004187-4	1004172-4	1004183-4	1004181-4	1004174-4	1004182-4	1004189-4
7		1	.800 MATRIX ASSEMBLY (6)				'1003064-66			'1003064-62																				
6		1	.800 MATRIX ASSEMBLY (4)	'1003064-1	'1003064-13	'1003064-9	'1003064-65	'1003064-53	'1003064-57	'1003064-61	'1003064-21	'1003064-37	'1003064-17	'1003064-49	'1003064-73	'1003064-33	'1003064-25	'1003064-29	'1003064-5	'1003064-69	'1003064-41	'1003064-45	'1003064-37	'1003064-77	'1003064-88	'1003064-90	'1003064-91	'1003064-17	'1003064-93	'1003064-96
5		1	1.400 MATRIX ASSEMBLY (2)	'1003063-1	'1003063-7	'1003063-5	'1003063-33	'1003063-27	'1003063-11	'1003063-31	'1003063-29	'1003063-19	'1003063-9	'1003063-25	'1003063-37	'1003063-17	'1003063-13	'1003063-15	'1003063-3	'1003063-35	'1003063-21	'1003063-23	'1003063-39	'1003063-35	'1003063-41	'1003063-43	'1003063-44	'1003063-45	'1003063-47	'1003063-50
4		AR	WIRE ELECTRICAL NICKEL .005 X .020	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7	1006757-7
3		AR	WIRE ELECTRICAL KOVAR	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402	1015402
2		1	GROUND PLANE	1004100	1004100	1004100	1004100,2	1004100	1004100	1004100,2	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100	1004100
1	X	1	TO-47 HOUSING SUB-ASSEMBLY (EVEN)																											
																														
			PROOFED																											
