-11	0	DRAWING	TITLE	FIND	STRIKE
X	X	1006161	SCHEMATIC	REF	
1		1003521-26	800 MATRIX ASSEMBLY	37	
1		1003521-25	800 MATRIX ASSEMBLY	36	
2		1003521-24	800 MATRIX ASSEMBLY	35	
1		1003521-22	800 MATRIX ASSEMBLY	34	
1		1003521-23	800 MATRIX ASSEMBLY	33	
2		1003521-21	800 MATRIX ASSEMBLY	32	
1		1004654	GASKET	31	
AR	AR	1006757-13	WIRE ELECTRICAL .020 DIA	30	
2	2	1004124-2	DIODE, BLOCK	29	
2	2	1006750-84	RESISTOR, FIXED	28	
AR	AR	1006776-22	INSULATION, SLEEVING	27	
14	14	1004533	BACKING STRIP	26	
40	40	1004124-1	DIODE, BLOCK	25	
AR	AR	1006757-7	WIRE ELECTRICAL .005 X .020	24	
AR	AR	1006732-1	WIRE ELECTRICAL	23	
2	2	1004540	PIN, STOP	22	
1	1	1003521-5	800 MATRIX ASSEMBLY	21	
	1	1003521-16	800 MATRIX ASSEMBLY	20	
1	1	1003521-19	800 MATRIX ASSEMBLY	19	
	1	1003521-20	800 MATRIX ASSEMBLY	18	
2	2	1003521-17	800 MATRIX ASSEMBLY	17	
	2	1003521-18	800 MATRIX ASSEMBLY	16	
	1	1003521-13	800 MATRIX ASSEMBLY	15	
	1	1003521-14	800 MATRIX ASSEMBLY	14	
2	2	2003521-11	800 MATRIX ASSEMBLY	13	
	2	1003521-12	800 MATRIX ASSEMBLY	12	
81	81	1006751	SEMICONDUCTOR DEVICE, DIODE	11	
39	39	1006772-1	RELAY, MAGNETIC	10	
3	3	1006815-2	RELAY, ELECTROMAGNETIC	9	
AR	AR	1006806-10	INSULATION TAPE ELECTRICAL	8	
1	1	1004163-1	INSULATOR	7	
1	1	1004163-2	INSULATOR	6	
2	2	MS35200-13	SCREW, FLATHEAD	5	
6	6	NAS620-4	WASHER, FLAT	4	
6	6	MS35457-1	SCREW, SOCKET	3	
1	1	1004145	PLATE, RELAY MODULE	2	
1	1	1004113	HOUSING, ASSEMBLY RELAY MODULE	1	
					
X	X	X	PROOFED	REF	X
