-11	DRAWING	TITLE	FIND	STRIKE
X	1006535	SCHEMATIC	REF	
4	1004629-2	INSULATOR	29	
10	1004629-1	INSULATOR	28	
24	1004605	INSULATOR, MYLAR	27	
AR	1006826-12	INSULATION TAP, ELEC	26	
2	MS16633-4015	RING, RETAINING, EXTERNAL “E”	25	
2	1004546-3	WASHER, FLAT	24	
AR	1006776-22	INSULATION, SLEEVING	23	
6	1004117	PLUG, KEYING	22	X
2	MS39686-100	PIN, SPRING	21	X
2	1004207	DRIVER CYLINDER	20	X
2	1004546-1	WASHER, FLAT	19	
2	1004579-1	SCREW, JACKING	18	
AR	1006776-21	INSULATION, SLEEVING	17	
AR	1006757-1	WIRE, ELECTRICAL	16	
AR	1006757-8	WIRE, ELECTRICAL .020 DIA	15	
24	1003520-1	TRANSISTOR	14	
24	1006762-2	TRANSFORMER	13	
24	1006751	DIODE	12	
6	1010406-6	COIL	11	
6	1006755-79	CAPACITOR	10	
13	1006777-24	CAPACITOR	9	
13	1006750-39	RESISTOR	8	
24	1006750-32	RESISTOR	7	
24	1006760-16	RESISTOR	6	
1	1004225-4	INSULATOR	5	X
1	1004225-1	INSULATOR	4	
1	1004225-3	INSULATOR	3	
1	1004225-2	INSULATOR	2	
1	1003129	HEADER HOUSING ASSEMBLY	1	
				
X	X	PROOFED	REF	X
