-11	DRAWING	TITLE	FIND	STRIKE
X	1006099	SCHEMATIC	REF	
				
AR	1006806-4	TAPE, ELECTRICAL	13	
2	MS16633-4015	RING, RETAINING, EXTERNAL “E”	12	
2	1004546-3	WASHER, FLAT	11	
AR	1006879	SILICONE COMPOUND THERMOCONDUCT	10	
8	1004117	PLUG, KEYING	9	X
2	MS39086-100	PIN, SPRING	8	X
2	1004546-1	WASHER, FLAT	7	
2	1004579-1	SCREW, JACKING	6	
2	1004207	DRIVE CYLINDER	5	X
4	1006273-11	SCREW, CAP, BUTTON HD	4	
1	1003112	COVER	3	
1	1003131	ROPE STRAND SELECT MODULE SUBASSY	2	
1	1003128	HEADER HOUSING ASSY	1	
