-11	DRAWING	TITLE	FIND	STRIKE	NOTE
X	1006082	SCHEMATIC	REF		The drawing number for this line is not given in the FIND table, but in drawing 1006082 it lists a reference drawing of 1003165.
AR	1006826-12	INSULATION TAPE, ELECTRICAL	15		
AR	1006806-4	TAPE, ELECTRIC	14		
2	1004546-3	WASHER, FLAT	13		
2	MS16633-4015	RING, RETAINING, EXTERNAL “E”	12		
AR	1006879	SILICONE COMPOUND, THERMOCONDUCTIVE	11		
AR	1006757-11	WIRE, ELEC	10		
8	1004117	PLUG, KEYING	9	X	
2	1008145	PIN, SPRING	8	X	
2	1004546-1	WASHER, FLAT	7		
2	1004579-1	SCREW, JACKING	6		
2	1004207	DRIVE CYLINDER	5	X	
4	1006273-11	SCREW, CAP, BUTTON HEAD	4		
1	1003112	COVER	3		
1	1003173	DRIVER SERVICE MODULE SUB ASSY	2		
1	1003128	HEADER HOUSING ASSY	1		
