STRIKE	FIND	QTY	TITLE	-1	-2	-3	-4	-5	-6	-7	-8	-9	-10	-11	-12	-13	-14	-15	-16	-17	-18	-19	-20	-21	-22	-23	-24	-25	-26	-27	-28	-29	-30
	12	2	WASHER, FLAT	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3	1004546-3
	11	2	RING, RETAINING, EXTERNAL “E”	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015
X	10	2	SPRING, SPIRAL	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100	MS39086-100
X	9	2	DRIVER, CYLINDER	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207	1004207
	8	2	WASHER, FLAT	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546	1004546
	7	2	SCREW, JACKING	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1
X	6	AR	PLUG, KEYING	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117	1004117
X	5	AR	WIRE, ELECTRIC .020 DIA	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2	1006727-2
X	4	AR	INSULATION, SLEEVING	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21	1006776-21
	3	1	MICRO LOGIC MODULE, SUB-ASSY (EVEN)	'1003082-2	'1003082-3	'1003082-4	'1003082-5	'1003082-6	'1003082-7	'1003082-8	'1003082-9	'1003082-10	'1003082-11	'1003082-12	'1003082-13	'1003082-14	'1003082-15	'1003082-16	'1003082-17	'1003082-18	'1003082-19	'1003082-18	'1003082-20	'1003082-21	'1003082-22	'1003082-23	'1003082-24	'1003082-25	'1003082-2	'1003082-26	'1003082-4	'1003082-12	'1003082-27
	2	1	MICRO LOGIC MODULE, SUB-ASSY (ODD)	'1003081-2	'1003081-3	'1003081-4	'1003081-5	'1003081-6	'1003081-7	'1003081-8	'1003081-9	'1003081-10	'1003081-11	'1003081-12	'1003081-13	'1003081-14	'1003081-15	'1003081-16	'1003081-17	'1003081-18	'1003081-19	'1003081-20	'1003081-9	'1003081-21	'1003081-22	'1003081-5	'1003081-19	'1003081-23	'1003081-24	'1003081-25	'1003081-26	'1003081-27	'1003081-27
	1	1	HEADER HOUSING ASSEMBLY	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110
																																	
	REF	X	FLOW DIAGRAM	1006543	1006542	1006556	1006553	1006545	1006555	1006554	1006549	1006544	1006552	1006559	1006548	1006546	1006547	1006541	1006557	1006550	1006551	1006550	1006549	1006557	1006542	1006553	1006551	1006544	1006543	1006552	1006556	1006559	1006559
	REF	X	WIRING DIAGRAM	1006123	1006122	1006136	1006133	1006125	1006135	1006134	1006129	1006124	1006132	1006139	1006128	1006126	1006127	1006121	1006137	1006130	1006131	1006130	1006129	1006137	1006122	1006133	1006131	1006124	1006123	1006132	1006136	1006139	1006139
																																	
			PROOFED																														
