-11	DRAWING	TITLE	FIND	STRIKE	NOTE
X	1006158	WIRE WRAP CARD (HAND)	REF		
X	1006153	WIRE WRAP CARD (MACH)	REF		
1	1004622-4	SPACER	11		
1	1004622-3	SPACER	10		
2	MS35333-69	WASHER, LOCK, INT TOOTH	9		The FIND table in the original drawing calls out MS3533-69, but I believe that was an error.
2	1004615-2	TERM, THREADED	8		
1	1004616	WIRE COMB	7		
1	1003195	BUSS STRIP ASSY	6		
AR	1006732-2	WIRE, ELEC. INS	5		
AR	1006732-1	WIRE, ELEC. INS	4		
AR	QQ-W-343 TYPE S	WIRE, 24 GAGE, COATED, SOFT	3		
AR	1006776-22	INSULATION, SLEEVING ELECTRICAL	2		
1	1003146	TRAY B, SUB ASSEMBLY, LEFT HAND	1		
					
X	X	PROOFED	REF	X	
