-11	DRAWING	TITLE	FIND	STRIKE
X	1003104		REF	
				
1	1004261	SCREW, JACK	26	X
1	1004254	RETAINER, JACK SCREW	25	X
1	1004262	PLATE BACKING	24	X
1	1003174-24	LOGIC MODULE A38	23	
1	'1003174-19	LOGIC MODULE A37	22	
1	'1003174-21	LOGIC MODULE A36	21	
1	'1003174-15	LOGIC MODULE A35	20	
2	'1003174-14	LOGIC MODULE A33-A34	19	
1	'1003174-13	LOGIC MODULE A32	18	
2	'1003174-12	LOGIC MODULE A30-A31	17	
1	'1003174-30	LOGIC MODULE A29	16	
1	'1003174-27	LOGIC MODULE A28	15	
1	'1003174-25	LOGIC MODULE A27	14	
1	'1003174-20	LOGIC MODULE A26	13	
1	'1003174-7	LOGIC MODULE A25	12	
1	'1003174-6	LOGIC MODULE A24	11	
1	'1003174-5	LOGIC MODULE A23	10	
1	'1003174-23	LOGIC MODULE A22	9	
1	'1003174-28	LOGIC MODULE A21	8	
2	1003115	INTERFACE MODULE A20 OR A40	7	
2	1003123	INTERFACE MODULE A19 OR A39	6	
1	'1003174-22	LOGIC MODULE A18	5	
1	'1003174-26	LOGIC MODULE A17	4	
16	1003074	LOGIC MODULE A1-A16	3	
2	NAS1402-2	SCREW, MACHINE PAN HD	2	X
1	1003200	TRAY A WIRED ASSEMBLY	1	
