-11	DRAWING	TITLE	FIND	STRIKE
X	1006181	WIRING DIAGRAM	REF	
244	1010738-1	CONTACT, ELEC, PIN	21	
1	1010642-144	CONNECTOR, RECEPTACLE	20	
3	MS18035-1	BAND MARKER, CABLE	19	
244	1010738-2	CONTACT, ELEC, SOCKET	18	
AR	MIL-T-713 TYPE P CL II	LACING, WAXED	17	
5.5	1010685-8	WIRE, ELEC, AWG 26, 2 COND SHIELDED	16	
5.5	1010685-13	WIRE, ELEC, AWG 26 BLK	15	
194	1010685-10	WIRE, ELEC, AWG 26 RED	14	
244	1010685-11	WIRE, ELEC, AWG 26 WHT	13	
10	1010402-2	SLEEVE, SOLDER ELEC	12	
6	1010402-1	SLEEVE, SOLDER ELEC	11	
2	1010402-3	SLEEVE, SOLDER ELEC	10	X
4	1000242-20	FERRULE, ELEC	9	
4	1000243-35	FERRULE, ELEC	8	
4	1000242-30	FERRULE, ELEC	7	
4	1000243-34	FERRULE, ELEC	6	
2.6	QQ-B-575 BRAID 1/4 AWG 36	WIRE, BRAID	5	
2.7	QQ-B-575 BRAID 3/8 AWG 30	WIRE, BRAID	4	
2.5	MIL-I-631 TYPE F, FORM U, GRADE A, CLASS 1, CATEGORY 1, AWG 3/8	SLEEVING	3	
2.6	MIL-I-631 TYPE F, FORM U, GRADE A, CLASS 1, CATEGORY 1, AWG 1/2	SLEEVING	2	
1	1010641-144	CONNECTOR, PLUG ELEC	1	
				
		PROOFED		
