-11	DRAWING	TITLE	FIND
X	1005730	SCHEMATIC	REF
			
			
1	1006760-32	RESISTOR	26
2	1006815-2	RELAY	25
6	1006753	TRANSISTOR	24
2	1006752	TRANSISTOR	23
1	1006838	DIODE	22
3	1006751	DIODE	21
1	1006793-7	CAPACITOR	20
1	1006755-79	CAPACITOR	19
1	1006755-69	CAPACITOR	18
1	1006750-84	RESISTOR	17
1	1006750-80	RESISTOR	16
10	1006750-39	RESISTOR	15
4	1006750-32	RESISTOR	14
1	1006750-25	RESISTOR	13
1	1006750-15	RESISTOR	12
2	1006750-8	RESISTOR	11
AR	1006776-22	INSULATION SLEEVING	10
AR	1006776-21	INSULATION SLEEVING	9
AR	1010789-016	WIRE, ELECRICAL, STRD, AWG 26	8
AR	1006757-8	WIRE, ELECTRICAL .020 DIA	7
AR	1006757-14	WIRE, ELECTRICAL .010 X .020	6
6	1008161-5	SCREW, CAP, SLOTTED HEAD SPECIAL	5
3	1015135-017	SPACER	4
2	1006331-001	INSERT, SCREW THREAD	3
1	1004320	WIRING BOARD “B”	2
1	1003218-011	WIRING BOARD ASSEMBLY	1
