-11	DRAWING	TITLE	FIND	STRIKE
1.5	MIL-T-713	CORD, LACING	45	
4	MS16200-1	SCREW, PAN HEAD	44	
1	1004628	PLATE, IDENT	43	
1	MS16995-18	SCREW, SOCKET HEAD	42	
2	MS35337-78	WASHER, LOCK	41	
2	MS35200-17	SCREW, FLAT HEAD	40	
2	MS35649-44	NUT, PLAIN	39	
9	NAS620-4	WASHER, FLAT	38	
1	MS35649-64	NUT, PLAIN	37	
1	MS35338-79	WASHER, LOCK	36	
1	MS16995-17	SCREW, CAP, SOCKET HEAD	35	X
1	MS25281-4	CLAMP, CABLE	34	
2	MS25281-6	CLAMP, CABLE	33	X
2	MS51053-213	SCREW, SET	32	
1	MS15795-307	WASHER, FLAT	31	
AR	MIL-I-631 TYPE F FORM Ua, GRADE a, CLASS I, CATEGORY I, AWG 24	SLEEVING	30	
AR	QQ-W-343 TYPE S	WIRE, SOLID AWG 26	29	
1	1004589	INSULATOR, FRONT	28	
13	MS16995-10	SCREW, CAP, SOCKET HEAD	27	
9	MS15795-304	WASHER, FLAT	26	
1	MS35216-38	SCREW, PAN HEAD	25	
1	1003539	KEYBOARD MODULE, D18	24	
20	MS15795-303	WASHER, FLAT	23	
23	MS16995-9	SCREW, CAP, SOCKET HEAD	22	
1	1006820	SWITCH, TOGGLE	21	
1	1004116	BRACKET, POT	20	
1	1006736	RESISTOR, VARIABLE	19	
1	MS25281-9	CLAMP, CABLE	18	
1	1003546	WIRING HARNESS	17	
1	1006814	INDICATOR, DIGITAL DISPLAY	16	
1	1003543	GASKET & FRAME ASSY	15	
1	1004114	THUMB WHEEL	14	
1	1003532	POWER SUPPLY ASSY	13	
9	MS15795-305	WASHER, FLAT	12	
3	MS16995-17	SCREW, SOCKET HEAD	11	
4	MS16995-16	SCREW, SOCKET HEAD	10	
1	1004569	HOUSING, RELAY MODULE	9	
4	1003098	RELAY MODULE ASSY	8	
1	1004151	HOUSING, FRONT PANEL	7	
2	1010477-25	SCREW, FLAT HEAD	6	X
2	1004276	SPACER, SPECIAL	5	X
4	MS15795-308	WASHER, FLAT	4	
4	1004545	SCREW, CAPTIVE	3	
3	1003530	COMPONENT ASSY	2	
1	1004588	INSULATOR, INDICATOR DISPLAY	1	
				
		PROOFED		
