-11	DRAWING	TITLE	FIND
X	1003100	AGC DSKY NAV PANEL OUTLINE	REF
1	1004644	WASHER, KNURLED	52
4	MS35200-15	SCREW, FLAT HEAD	51
1	1004636	RETAINER, HOLD DOWN LH	50
1	1004635	RETAINER, HOLD DOWN RH	49
9	NAS620-4	WASHER, FLAT	48
4	MS16200-1	SCREW, PAN HEAD	47
1	1004628	PLATE, IDENT	46
2	MS35337-80	WASHER, LOCK	45
2	MS15795-807	WASHER, FLAT	44
2	MS16995-26	SCREW, SOCKET HEAD	43
1	1004603	FLANGE	42
1	1004601	BRACKET, ANGLE	41
1	1003451	ALIGNMENT PIN ASSY	40
4	MS35337-78	WASHER, LOCK	39
1	MIL-T-713	CORD, LACING	38
1	1004591	PHOTO MA FRONT, INDICATOR DISPLAY	37
1	1004590	PHOTO MA, FRONT, PROGRAM DISPLAY	36
1	1004128	PHOTO MA REGISTER NO. 2 DIS	35
1	1004126	PHOTO MA REGISTER NO. 1 DIS	34
1	1004148	PHOTO MASTER VERB-NOUN DIS	33
1	1004147	PHOTO MASTER PROGRAM DIS	32
1	1004149	PHOTO MASTER INDICATOR DIS	31
1	1004129	PHOTO MA, REGISTER NO. 3 DIS	30
25	MS15795-803	WASHER, FLAT	29
8	MS15795-808	WASHER, FLAT	28
9	MS16995-10	SCREW, SOCKET HEAD	27
25	MS16995-9	SCREW, SOCKET HEAD	26
17	MS35200-13	SCREW, FLAT HEAD	25
8	1004545	SCREW, CAPTIVE	24
2	MS51053-213	SCREW, SET	23
2	MS16633-4012	RING, RETAINING	22
2	1004119	CONNECTOR STUD	21
3	1006737	WIRE, ELECTRICAL	20
1	1003473	THUMB WHEEL ASSY	19
1	1006736	RESISTOR, VAR	18
1	1004648	BRACKET	17
X	1006167	INTERCONNECTING DIAGRAM	REF
3	1006813	INDICATOR, DIGITAL DISPLAY	15
1	1006817	INDICATOR, DIGITAL DISPLAY	14
1	1006818	INDICATOR, DIGITAL DISPLAY	13
1	1006819	INDICATOR, DIGITAL DISPLAY	12
0.25	SEE NOTE 7	SLEEVING	11
0.5	QQ-W-343 TYPE S	WIRE, SOLID, AWG 26	10
3	1003530	DECODING MODULE ASSY	9
1	1003534	E/L HOLD DOWN ASSY	8
1	1003533	WIRING HARNESS	7
1	1003548	KEYBOARD MODULE ASSY	6
1	1004547	BRACKET, CABLE SUPPORT	5
4	1003098	RELAY MODULE ASSY	4
1	1003532	POWER SUPPLY ASSY	3
1	1004539	HOUSING, RELAY MODULE	2
1	1004141	PANEL, FRONT	1
