-11	DRAWING	TITLE	FIND	STRIKE
3	NAS671-4	NUT, PLAIN HEX	24	
3	MS35337-78	WASHER, LOCK	23	
3	NAS620-4	WASHER, FLAT	22	
3	MS35233-5	SCREW, PAN HEAD	21	
AR	1006757-8	WIRE, ELECTRICAL .020 DIA.	20	
1	1006777-32	CAPACITOR, FIXED	19	
2	1006751	SEMICONDUCTOR DEVICE, DIODE	18	
2	1006838	SEMICONDUCTOR DEVICE, DIODE	17	
2	1006750-39	RESISTOR, FIXED, FILM	16	X
1	1006750-46	RESISTOR, FIXED, FILM	15	
1	1006750-25	RESISTOR, FIXED, FILM	14	
1	1006750-80	RESISTOR, FIXED, FILM	13	
1	1006750-1	RESISTOR, FIXED, FILM	12	
1	1006750-60	RESISTOR, FIXED, FILM	11	
1	1006750-72	RESISTOR, FIXED, FILM	10	
4	1006750-39	RESISTOR, FIXED, FILM	9	
1	1006750-74	RESISTOR, FIXED, FILM	8	
2	1006755-79	CAPACITOR, FIXED, TANTALUM	7	
1	1006793-45	CAPACITOR, FIXED	6	
1	1006753	TRANSISTOR SILICON	5	
2	1006752	TRANSISTOR SILICON	4	
AR	1006776-22	INSULATION SLEEVING	3	
1	1003537	HEADER ASSEMBLY	2	
1	1004534	HOLDER, COMPONENT	1	
				
X	X	PROOFED	REF	X
