-11	DRAWING	TITLE	FIND
1	MS18035-1	STRAP, CABLE IDENT	18
5	1004546-1	WASHER, FLAT	17
5	1004546-3	WASHER, FLAT	16
5	1004579-1	SCREW, JACKING	15
5	MS16633-4015	RING, RETAINING	14
129.0	1006737-A3	WIRE, ELECTRICAL SHLD AWG 30	13
447.0	1006737-A2	WIRE, ELECTRICAL SHLD AWG 30	12
124.0	1006737-A1	WIRE, ELECTRICAL SHLD AWG 26	11
1.5	MIL-I-23053 CLASS 2 BLACK, SIZE 16	SLEEVING	10
1.5	MIL-I-23053 CLASS 2 BLACK, SIZE 10	SLEEVING	9
38	1000243-1	FERRULE, ELECTRICAL CONDUCTOR	8
38	1000242-1	FERRULE, ELECTRICAL CONDUCTOR	7
1	1010347-1	CONNECTOR, PLUG	6
108	1010738-1	CONTACT (MALE)	5
0.09	MIL-I-23053 CLASS 2 BLACK, SIZE 6	SLEEVING	4
0.1	MIL-I-23053 CLASS 2 BLACK, SIZE 4	SLEEVING	3
1	1003531	DECODING PLATE WIREWRAP ASSY	2
1	1003535	RELAY MODULE WIREWRAP ASSY	1
			
		PROOFED	
