-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
X	X	X	X	X			1005789	AGC MAIN DSK OUTLINE	REF	
					X	X	1003480	AGC MAIN DSK OUTLINE	REF	
X	X	X	X	X	X	X	1005770	INTERCONNECTION FLOW DIA	REF	
X	X	X	X	X	X	X	1005753	INTERCONNECTION DIAGRAM	REF	
1							1003220-021	G&N FAIL DETECT ASSY	52	
4		4					1004920	STRIP, GROUNDING	51	
4		4					1004919-002	WASHER, VIBRATION	50	
4		4					1004921	PAD, VIBRATION	49	
	1	1	1	1	1	1	1003220-011	G&N FAIL DETECT ASSY	48	
2	2	2	2	2	2	2	1006783-19	SCREW BUTTON HD, HEX SOC	47	
1	1	1		1			1004779	PAD, RUBBER	46	
1	1	1	1	1			1004682	HOUSING, FRONT PANEL	45	
1		1		1	1		1003809-011	E L FRAME & HARNESS ASSY	44	
4	4	4		4	4	4	1011625-32	SCREW, SOCKET HEAD	43	
2	2	2		2	2	2	1004776	SHIM	42	
1	1	1	1	1	1	1	1010812-1	GASKET	41	
AR	AR	AR	AR	AR	AR	AR	1006879	THERMOCONDUCTIVE COMPOUND	40	
AR	AR	AR	AR	AR	AR	AR	1004665	SHIM	39	
2	2	2	2	2	2	2	1004666-011	STIFFENER	38	
8	8	8	8	8	8	8	MS51957-13	SCREW, PAN HEAD	37	
9	9	9	9	9	9	9	MS15795-805	WASHER, FLAT	36	
	4		4		4	4	MS15795-808	WASHER, FLAT	35	
2	2	2	2	2	2	2	MS51959-18	SCREW, FLAT HEAD	34	
4	4	4	4	4	4	4	MS51957-1	SCREW, PAN HEAD	33	
13	13	13	13	13	13	9	MS15795-804	WASHER, FLAT	32	
18	16	18	18	18	18	18	MS16995-10	SCREW, SOCKET HEAD	31	
1	1	1	1	1	1	1	MS16995-19	SCREW, SOCKET HEAD	30	
12	12	12	12	12	12	12	MS16995-9	SCREW, SOCKET HEAD	29	
3	3	3	3	3	3	3	MS16995-17	SCREW, SOCKET HEAD	28	
4	4	4	4	4	4	4	MS16995-16	SCREW, SOCKET HEAD	27	
					4	4	1004545	SCREW, CAPTIVE	26	
2	2	2	2	2	2	2	MS51053-213	SCREW, SET	25	
20	18	20	20	20	20	20	MS15795-803	WASHER, FLAT	24	
AR	AR	AR	AR	AR	AR	AR	QQ-W-343 TYPE S	WIRE, SOLID, AWG 26	23	
1	1	1	1	1	1	1	MS25281-2	CLAMP, CABLE	22	
1.5	1.5	1.5	1.5	1.5	1.5	1.5	1012507-003	LACING, CORD	21	
1	1	1	1	1	1	1	1004628	PLATE, IDENT	20	
1	1	1	1	1	1	1	1003554-011	KEYBOARD MODULE, D18	19	
1	1	1	1	1	1	1	1006820-000	SWITCH, TOGGLE	18	
11	7	11	11	11	11	11	NAS620C4	WASHER, FLAT	17	
6	6	6	6	6	6	6	MS35337-78	WASHER, LOCK	16	
1	1	1	1	1	1	1	MS35338-79	WASHER, LOCK	15	
2	2	2	2	2	2	2	MS35649-44	NUT, PLAIN	14	
1	1	1	1	1	1	1	MS35649-64	NUT, PLAIN	13	
2	2	2	6	2	2	2	MS16995-11	SCREW, SOCKET HEAD	12	
1	1	1	1	1	1	1	1004648	BRACKET, POT	11	
	1		1			1	1003809-000	E L FRAME & HARNESS ASSY	10	
1	1	1	1	1	1	1	1004644	WASHER, KNURLED	9	
3	3	3	3	3	3	3	1003817-011	DECODING MODULE ASSY	8	
1	1	1	1	1	1	1	1006736	RESISTOR, VARIABLE	7	
1	1	1	1	1	1	1	1003473	THUMB WHEEL ASSY	6	
1	1	1	1	1	1	1	1004573	FRAME INDICATOR DISP	5	
4	4	4	4	4	4	4	1003824-011	RELAY MODULE ASSY	4	
1	1	1	1	1	1	1	1003811-011	POWER SUPPLY ASSY	3	
1	1	1	1	1	1	1	1004686	HOUSING, RELAY TRAY	2	
					1	1	1004759	HOUSING, FRONT PANEL	1	
										
X	X	X	X	X	X	X	X	PROOFED	REF	X
