-21	-11	DRAWING	TITLE	FIND	STRIKE
	X	1003430	MAIN DSKY OUTLINE	REF	X
					
	1	1004672	HOUSING, RELAY MODULE	59	X
	1	1004151-011	HOUSING, FRONT PANEL	58	X
	3	1003530	DECODING MODULE ASSY	57	
2	2	1006783-19	SCREW, BUTTON HD, CAP	56	
	1	1003549	KEYBOARD MODULE D18	55	X
1	1	1003220-011	ASSY, G&N FAILURE DET	54	
1	1	1004779	PAD, RUBBER	53	
4	4	1004654	GASKET	52	
X	X	1005789	MAIN DSKY OUTLINE	REF	
6	6	1004653	GASKET	51	
1	1	1004652	GASKET	50	
2	2	1004677	SHIM	49	
2	2	1006783-19	SCREW, BUTTON HEAD, HEX SOCKET	48	
1	1	1010812-1	GASKET	47	
AR	AR	1006879	THERMOCONDUCTIVE COMPOUND	46	
AR	AR	1004665	SHIM	45	
2	2	1004666	STIFFNER	44	
8	8	MS35233-13	SCREW, PAN HEAD	43	
1	1	MS16995-19	SCREW, SOCKET HEAD	42	
2	2	MS35337-78	WASHER, LOCK	41	
2	2	MS35200-17	SCREW, FLAT HEAD	40	
2	2	MS35649-44	NUT, PLAIN	39	
1.5	1.5	1012507-003	LACING, CORD	38	
1	1	MS35649-64	NUT, PLAIN	37	
1	1	MS35338-79	WASHER, LOCK	36	
1	1	1004628	PLATE, IDENT	35	
1	1	MS25281-4	CLAMP, CABLE	34	
4	4	MS16200-1	SCREW, PAN HEAD	33	
2	2	MS51053-213	SCREW, SET	32	
1	1	MS15795-807	WASHER, FLAT	31	
AR	AR	SEE NOTE 4	SLEEVING	30	
AR	AR	QQ-W-343 TYPE S	WIRE, SOLID AWG 26	29	
1	1	1004649	INSULATOR, FRONT	28	
24	24	MS16995-10	SCREW, CAP, SOCKET HEAD	27	
9	9	MS15795-804	WASHER, FLAT	26	
1	1	MS35216-40	SCREW, PAN HEAD	25	
1	1	1003567-011	KEYBOARD MODULE, D18	24	
20	20	MS15795-803	WASHER, FLAT	23	
12	12	MS16995-9	SCREW, CAP, SOCKET HEAD	22	
1	1	1006820	SWITCH, TOGGLE	21	
1	1	1004648	BRACKET, POT	20	
1	1	1006736	RESISTOR, VARIABLE	19	
1	1	MS25281-14	CLAMP, CABLE	18	
1	1	1003483	WIRING HARNESS	17	
1	1	1006814	INDICATOR, DIGITAL DISPLAY	16	
1	1	1003543	GASKET & FRAME ASSY	15	
1	1	1003473	THUMB WHEEL ASSY	14	
1	1	1003532	POWER SUPPLY ASSY	13	
9	9	MS15795-805	WASHER, FLAT	12	
3	3	MS16995-17	SCREW, SOCKET HEAD	11	
4	4	MS16995-16	SCREW, SOCKET HEAD	10	
1	1	1004686	HOUSING, RELAY TRAY	9	
4	4	1003098	RELAY MODULE ASSY	8	
1	1	1004785	HOUSING, FRONT PANEL	7	
1	1	1004644	WASHER, KNURLED	6	
13	13	NAS620C4	WASHER, FLAT	5	
4	4	MS15795-808	WASHER, FLAT	4	X
4	4	1004545	SCREW, CAPTIVE	3	X
3		1003817-011	DECODING MODULE ASSY	2	
1	1	1004588	INSULATOR, INDICATOR DISPLAY	1	
					
X	X	X	PROOFED	REF	X
