-21	-11	DRAWING	TITLE	FIND	STRIKE
X	X	1006197	INTERCONNECTING DIAGRAM	REF	
X	X	1005788	AGC DSKY NAV PANEL OUTLINE	REF	
					
					
3		1003530-000	DECODING MODULE ASSY	65	
1	1	1004652	GASKET	64	
6		1004653	GASKET	63	
0.7	0.7	1010416-20	WIRE, ELECTRICAL, STRD, AWG 26	62	
1	1	1004823-011	HOLDER, COMPONENT	61	
1	1	1006750-72	RESISTOR	60	
4	4	1004654	GASKET	59	
1	1	1010812-3	GASKET	58	
2	2	MS24693-PC2	SCREW, FLAT HEAD	57	
AR	AR	1006879	THERMOCONDUCTIVE COMPOUND	56	
8	8	MS35233-13	SCREW, PAN HEAD	55	
2	2	1004666-011	STIFFENER	54	
AR	AR	1004665	SHIM	53	
1	1	1004644	WASHER, KNURLED	52	
4	4	MS35200-15	SCREW, FLAT HEAD	51	
1	1	1004636	RETAINER, HOLD DOWN LH	50	
1	1	1004635	RETAINER, HOLD DOWN RH	49	
9	9	NAS620-4	WASHER, FLAT	48	
4	4	MS16200-1	SCREW, PAN HEAD	47	
1	1	1004628	PLATE, IDENT	46	
4	4	MS35337-80	WASHER, LOCK	45	
4	4	MS15795-807	WASHER, FLAT	44	
4	4	MS16995-26	SCREW, SOCKET HEAD	43	
1	1	1004669-011	FLANGE	42	
1	1	1004670	BRACKET, ANGLE	41	
1	1	1003487-011	ALIGNMENT PIN ASSY	40	
8	8	MS35337-78	WASHER, LOCK	39	
1.0	1.0	1012507-003	CORD, LACING	38	
1	1	1004591	PHOTO MA FRONT, INDICATOR DISPLAY	37	
1	1	1004590	PHOTO MA FRONT, PROGRAM DISPLAY	36	
1	1	1004128	PHOTO MA REGISTER NO. 2 DISPLAY	35	
1	1	1004126	PHOTO MA REGISTER NO. 1 DISPLAY	34	
1	1	1004148	PHOTO MASTER VERB-NOUN DISPLAY	33	
1	1	1004147	PHOTO MASTER PROGRAM DISPLAY	32	
1	1	1004149	PHOTO MASTER INDICATOR DISPLAY	31	
1	1	1004129	PHOTO MA REGISTER NO. 3 DISPLAY	30	
27	27	MS15795-803	WASHER, FLAT	29	
8	8	MS15795-808	WASHER, FLAT	28	
27	27	MS16995-10	SCREW, SOCKET HEAD	27	
9	9	MS16995-9	SCREW, SOCKET HEAD	26	
17	17	MS35200-13	SCREW, FLAT HEAD	25	
8	8	1004545	SCREW, CAPTIVE	24	
2	2	MS51053-213	SCREW, SET	23	
2	2	MS16633-4012	RING, RETAINING	22	
2	2	1004119	CONNECTOR, STUD	21	
3.0	3.0	1006737-A2	WIRE, ELECTRICAL	20	
1	1	1003473	THUMB WHEEL ASSY	19	
1	1	1006736	RESISTOR, VAR	18	
1	1	1004648	BRACKET	17	
X	X	1006167	INTERCONNECTING DIAGRAM	REF	
3	3	1006813	INDICATOR, DIGITAL DISPLAY	15	
1	1	1006817	INDICATOR, DIGITAL DISPLAY	14	
1	1	1006818	INDICATOR, DIGITAL DISPLAY	13	
1	1	1006819	INDICATOR, DIGITAL DISPLAY	12	
0.25	0.25	SEE NOTE 6	SLEEVING	11	
0.5	0.5	QQ-W-343 TYPE S	WIRE, SOLID, AWG 26	10	
	3	1003817-011	DECODING MODULE ASSY	9	
1	1	1003534	E/L HOLD DOWN ASSY	8	
1	1	1003550	WIRING HARNESS	7	
1	1	1003568-011	KEYBOARD MODULE ASSY	6	
1	1	1004668	BRACKET, CABLE SUPPORT	5	
4	4	1003098	RELAY MODULE ASSY	4	
1	1	1003532	POWER SUPPLY ASSY	3	
1	1	1004683	HOUSING, RELAY MODULE	2	
1	1	1004786	PANEL, FRONT	1	
					
X	X	X	PROOFED	REF	X
