-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
47	47	47	47	47	47		1006393-003	SCREW, MACHINE, PAN HD	118	
1							1003230-011	TEST CONNECTOR ASSY	117	
47	47	47	47	47	47		1006393-001	SCREW, MACHINE, PAN HD	116	X
1		1					1003701-011	TRAY B WIRED ASSEMBLY	115	
1		1					1004783-011	FRONT CLOSE OUT PANEL	114	
1	1	1	1				1004774	CUSHION, TRAY A&B	113	
1	1	1	1				1004773	CUSHION, TRAY A&B	112	
1	1	1	1				1003556-021	COVER, TRAY B	111	
1	1	1	1				1003557-021	COVER, TRAY A	110	
1	1	1	1	1	1		1003703-011	TRAY A WIRED ASSEMBLY	109	
	1		1	1	1		1004285	FRONT CLOSE OUT PANEL	108	
1	1	1	1	1	1		1004762	REAR PLATE, TRAY A&B	107	
				1	1		1004766	CUSHION, TRAY A&B	106	
				1	1		1004765	CUSHION, TRAY A&B	105	
				1	1		1003556-011	COVER, TRAY B	104	
				1	1		1003557-011	COVER, TRAY A	103	
4	4	4	4	4	4		1006783-19	SCREW, BUTTON HD, HEX SOCKET	102	
1	1	1	1	1	1		1004698-011	BRACKET	101	
1	1	1	1	1	1		1004768-011	BRACKET	100	
1	1	1	1	1	1		1003555-011	MID-PLATE, RIGHT SIDE, TRAY B	99	
4	4	4	4	4	4		1004849-004	GASKET – D	98	
1	1	1	1	1	1		1004849-003	GASKET – D	97	
1	1	1	1	1	1		1004849-002	GASKET – D	96	
2	2	2	2	2	2		2004849-001	GASKET – D	95	
3	3	3	3	3	3		1004848	GASKET – C	94	
18	18	18	18	18	18		1004847	GASKET – B	93	
90	90	90	90	90	90		1004846	GASKET – A	92	
1	1	1	1	1	1		1004850	GASKET E	91	
1		1	1		1		1003702-011	CABLE ASSY	90	
3		3	3		3		1003819-011	POWER SWITCH MODULE	89	
16		16	16		16		1003815-1	LOGIC MODULE A1-A16	88	
1		1	1		1		1003812-1	LOGIC MODULE A17	87	
1		1	1		1		1003812-18	LOGIC MODULE A38	86	
1	1	1	1	1	1		'1003812-17	LOGIC MODULE A37	85	
1		1	1		1		'1003812-16	LOGIC MODULE A36	84	
1		1	1		1		'1003812-15	LOGIC MODULE A35	83	
2		2	2		2		'1003812-14	LOGIC MODULE A33-A34	82	
1		1	1		1		'1003812-13	LOGIC MODULE A32	81	
2		2	2		2		'1003812-12	LOGIC MODULE A30-A31	80	
1		1	1		1		'1003812-11	LOGIC MODULE A29	79	
1		1	1		1		'1003812-10	LOGIC MODULE A28	78	
1		1	1		1		'1003812-9	LOGIC MODULE A27	77	
1		1	1		1		'1003812-8	LOGIC MODULE A26	76	
1		1	1		1		'1003812-7	LOGIC MODULE A25	75	
1		1	1		1		'1003812-6	LOGIC MODULE A24	74	
1		1	1		1		'1003812-5	LOGIC MODULE A23	73	
1		1	1		1		'1003812-4	LOGIC MODULE A22	72	
1		1	1		1		'1003812-3	LOGIC MODULE A21	71	
1		1	1		1		'1003812-2	LOGIC MODULE A18	70	
1	1	1	1	1	1	1	1004730	GASKET, 360 PIN CONN.	69	
2	2	2	2	2	2	2	1004731	GASKET, 215 PIN CONN.	68	
2	2	2	2	2	2	2	1004739	BRACKET, TRAY A AND B	67	
1	1	1	1	1	1	1	1004657	PLATE, IDENTIFICATION	66	
1	1	1	1	1	1	1	1003734	FRONT PANEL MOUNT ASSY, LEFT SIDE	65	
1	1	1	1	1	1	1	1004728	SHIELD STANDBY SWITCH AGC	64	
2	2	2	2	2	2	2	1004722-2	SCREW CAPTIVE	63	
2	2	2	2	2	2	2	MS15795-808	WASHER, FLAT	62	
2	2	2	2	2	2	2	NAS620C8	WASHER, FLAT	61	
22	22	22	22	22	22	22	NAS620C10	WASHER, FLAT	60	
8	8	8	8	8	8	8	1010630-40	SCREW, FL HD, HEX SOCKET	59	
2	2	2	2	2	2	2	1010630-39	SCREW, FL HD, HEX SOCKET	58	
2	2	2	2	2	2	2	1006783-22	SCREW, BUTTON HD, HEX SOCKET	57	
47	47	47	47	47	47	47	1006783-18	SCREW, BUTTON HD, HEX SOCKET	56	X
22	22	22	22	22	22	22	1006783-21	SCREW, BUTTON HD, HEX SOCKET	55	
3	3	3	3	3	3	3	MS16995-11	SCREW, SOCKET HD, HEX	54	
4	4	4	4	4	4	4	MS16996-10	SCREW, SOCKET HD, HEX	53	
22	22	22	22	22	22	22	MS16996-13	SCREW, SOCKET HD, HEX	52	
2	2	2	2	2	2	2	MS16996-13	SCREW, SOCKET HD, HEX	51	
			8		8	8	1004733	SCREW, CAPTIVE	50	X
						1	1004723	FRONT CLOSE OUT PANEL	49	
2	2	2	2	2	2	2	1004734	COVER, ROPE	48	
1	1	1	1	1	1	1	1004716	FRONT PLATE, LEFT SIDE, TRAY B	47	
						1	1003713	MID-PLATE, RIGHT SIDE, TRAY B	46	
						1	1004714	REAR PLATE, TRAY A&B	45	
1	1	1	1	1	1	1	1004715	FRONT PLATE, TRAY A	44	
1	1	1	1	1	1	1	1003730	SUPPORT, FRONT PANEL	43	
1	1	1	1	1	1	1	1003735	FRONT PANEL MOUNT ASSY, RIGHT SIDE	42	
1	1	1	1	1	1	1	1003704-011	FILTER MODULE	41	
2	2	2	2	2	2	2	1003154	ROPE SENSE AMPL MODULE	40	
2	2	2	2	2	2	2	1003463	ERASABLE SENSE AMPL MODULE	39	
1	1	1	1	1	1	1	1003150	POWER SUPPLY CONTROL MODULE	38	
2	2	2	2	2	2	2	1003139	ERASABLE DRIVER MODULE	37	
1	1	1	1	1	1	1	1003069	ERASABLE MEMORY MODULE	36	
1	1	1	1	1	1	1	1003153	CURRENT SWITCH MODULE	35	
1	1	1	1	1	1	1	1003165	DRIVER SERVICE MODULE	34	
1	1	1	1	1	1	1	1003527	OSCILLATOR MODULE	33	
	3			3		3	1003113	POWER SWITCH MODULE	32	
2	2	2	2	2	2	2	1003178	ROPE DRIVER MDOULE	31	
1	1	1	1	1	1	1	1003485	STRAND GATE MODULE	30	
1	1	1	1	1	1	1	1003132	ROPE STRAND SELECT MODULE	29	
									28	
	1			1		1	1003174-24	LOGIC MODULE A38	27	
						1	'1003174-19	LOGIC MODULE A37	26	
	1			1		1	'1003174-21	LOGIC MODULE A36	25	
	1			1		1	'1003174-15	LOGIC MODULE A35	24	
	2			2		2	'1003174-14	LOGIC MODULE A33-A34	23	
	1			1		1	'1003174-13	LOGIC MODULE A32	22	
	2			2		2	'1003174-12	LOGIC MODULE A30-A31	21	
	1			1		1	'1003174-30	LOGIC MODULE A29	20	
	1			1		1	'1003174-27	LOGIC MODULE A28	19	
	1			1		1	'1003174-25	LOGIC MODULE A27	18	
	1			1		1	'1003174-20	LOGIC MODULE A26	17	
	1			1		1	'1003174-7	LOGIC MODULE A25	16	
	1			1		1	'1003174-6	LOGIC MODULE A24	15	
	1			1		1	'1003174-5	LOGIC MODULE A23	14	
	1			1		1	'1003174-23	LOGIC MODULE A22	13	
	1			1		1	'1003174-28	LOGIC MODULE A21	12	
2	2	2	2	2	2	2	1003709	INTERFACE MODULE A20 OR A40	11	
2	2	2	2	2	2	2	1003708-011	INTERFACE MODULE A19 OR A39	10	
	1			1		1	'1003174-22	LOGIC MODULE A18	9	
	1			1		1	'1003174-26	LOGIC MODULE A17	8	
	15			16		16	1003074	LOGIC MODULE A1-A16	7	
						1	1004729	COVER, TRAY A	6	
						1	1004713	COVER, TRAY B	5	
	1	1	1	1	1	1	1003732	COVER, POTTED	4	
	1			1		1	1003702-000	CABLE ASSY	3	
	1		1	1	1	1	1003701-000	TRAY B WIRED ASSEMBLY	2	
						1	1003703-000	TRAY A WIRED ASSEMBLY	1	
										
X	X	X	X	X	X	X	X	PROOFED	REF	X
