-11	0	DRAWING	TITLE	FIND	STRIKE
AR	AR	1006776-22	INSULATION SLEEVING	20	
X	X		WIRE WRAP DECK (HAND)	REF	X
X	X	1005779	WIRE WRAP DECK	REF	
2	2	1004622-5	SPACER	19	
AR	AR	1006732-2	WIRE, ELEC, INS	18	
AR	AR	1006732-1	WIRE, ELEC, INS	17	
2	2	MS15795-307	WASHER, FLAT	16	
2	2	1010630-41	SCREW, FLAT HEAD 100°	15	
2	2	MS21046-C08	NUT, SELF LOCKING	14	
1	1	1006296-001	SWITCH	13	
1	1	1004736	SWITCH, MOUNT	12	
AR	AR	QQ-W-343 TYPE S	WIRE, 24 GAGE, COATED SOFT	11	
AR	AR	1006732-3	WIRE, ELEC, INS	10	
1	1	1003195	BUSS STRIP ASSY	9	
1	1	1003744	CONN & HARNESS ASSY	8	
1	1	1003745	FLAT CABLE “F”	7	
1	1	1003724	FLAT CABLE “E”	6	
1	1	1003743	FLAT CABLE “D”	5	
1	1	1003742	FLAT CABLE “C”	4	
1	1	1003741	FLAT CABLE “B”	3	
1	1	1003740	FLAT CABLE “A”	2	
1	1	1003718	TRAY B, SUB ASSEMBLY	1	
					
X	X	X	PROOFED	REF	X
