-11	DRAWING	TITLE	FIND	STRIKE
X	1005700	SCHEMATIC	REF	
				
				
				
1	1006712-3	RESISTOR,TEMP SENSITIVE WAFER	16	
AR	1006776-21	INSULATION, SLEEVING	15	
10	1006755-79	CAPACITOR	14	
1	1004737	INSULATOR	13	
AR	1006826-12	TAPE, ELECTRICAL	12	
AR	1006757-1	WIRE ELECTRICAL	11	
AR	1006776-22	INSULATION, SLEEVING	10	
1	1004738	INSULATOR	9	
6	1006798	INDUCTOR	8	
AR	1006757-11	WIRE ELECTRICAL	7	
1	1004703	INSULATOR	6	
2	1004579-1	SCREW, JACKING	5	
2	1004546-1	WASHER, FLAT	4	
2	1004546-3	WASHER, FLAT	3	
2	MS16633-4015	RING, RETAINING, EXTERNAL “E”	2	
1	1003705	HEADER HOUSING ASSY	1	
				
X	X	PROOFED	REF	X
