-241	-231	-221	-211	-191	-181	-171	-161	-151	-141	-131	-121	-111	-91	-81	-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
AR																						SEE NOTE 23	MODULE DECK NO. 0036	REF	
	AR																					SEE NOTE 23	MODULE DECK NO. 0035	REF	
		AR																				SEE NOTE 23	MODULE DECK NO. 0034	REF	
			AR																			SEE NOTE 23	MODULE DECK NO. 0033	REF	
				AR																		SEE NOTE 23	MODULE DECK NO. 0032	REF	
					AR																	SEE NOTE 23	MODULE DECK NO. 0031	REF	X
						AR																SEE NOTE 23	MODULE DECK NO. 0030	REF	
							AR															SEE NOTE 23	MODULE DECK NO. 0029	REF	
								AR														SEE NOTE 23	MODULE DECK NO. 0028	REF	
									AR													SEE NOTE 23	MODULE DECK NO. 0027	REF	
										AR												SEE NOTE 23	MODULE DECK NO. 0026	REF	
											AR											SEE NOTE 23	MODULE DECK NO. 0025	REF	
												AR										SEE NOTE 23	MODULE DECK NO. 0024	REF	
													AR									SEE NOTE 23	MODULE DECK NO. 0022	REF	
														AR								SEE NOTE 23	MODULE DECK NO. 0021	REF	
															AR							SEE NOTE 23	MODULE DECK NO. 0023	REF	
1	1	1	1	1	1	1	1	1	1	1	1	1			1	1	1	1				1003821-021	ROPE MODULE SUBASSY	35	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	1012507-003	TAPE LACING	34	
																512	512	512				1006320	CORE, MAGNETIC	33	X
																AR			AR			SEE NOTE 23	MODULE DECK NO. 0036	REF	
																	AR			AR		SEE NOTE 23	MODULE DECK NO. 0036	REF	
																		AR			AR	SEE NOTE 23	MODULE DECK NO. 0036	REF	
16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	1004727	GASKET ROPE MODULE	32	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1004726	GASKET ROPE MODULE	31	
																					AR	SEE NOTE 22	WIRE, ELECTRICAL	30	X
																					AR	NAS1591-34-9	WIRE, ELECTRICAL	29	X
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	2	AR	AR	AR	1006275-2	WIRE, ELECTRICAL	28	
																2	2	2	2	2	2	1000093-2	SCREW, BUTTON HD	27	X
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	1004623-2	SHIM	26	
																AR	AR	AR	AR	AR	AR	1006776-22	SLEEVING	25	X
X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1006144	SCHEMATIC	REF	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1004603	INSULATOR	24	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1004546-3	WASHER, FLAT	23	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	MS16633-4015	RING, RETAINING, EXTERNAL “E”	22	
																					2	MS39086-100	PIN, SPRING	21	X
																					2	1004207	SCREW, EJECTION DRIVE CYLINDER	20	X
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1004679-1	SCREW, JACKING	19	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1004546-1	WASHER, FLAT	18	
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1004237	WASHER, FLAT	17	
																					2	1000104-1	SCREW, FLAT HEAD	16	X
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1006783-11	SCREW, BUTTON HD	15	
																AR	AR	AR	AR	AR	AR	1006275-1	WIRE, ELECTRICAL	14	X
																AR	AR	AR	AR	AR	AR	1006757-1	WIRE, .010 X .020	13	X
																256	256	256	256	256	256	1006751	DIODE	12	X
																128	128	128	128	128	128	1006750-39	RESISTOR, FIXED 2K	11	X
																1	1	1	1	1	1	1003134	TERMINAL BOARD ASSEMBLY	10	X
																			512	512	512	1006298-1	CORE, MAGNETIC	9	X
																					AR	1004117	PLUG, KEYING	8	X
																					1	1004235-1	INSULATOR	7	X
																			1	1	1	1004235-3	INSULATOR	6	X
													1	1					1	1	1	1003821-011	ROPE, MEMORY MODULE SUB ASSY	5	
																4	4	4	4	4	4	1004233	HOLDER, CORE	4	X
																1	1	1	1	1	1	1004232	HOLDER, COMPONENT	3	X
																					1	1004236-1	COVER	2	X
																1	1	1	1	1	1	1003135	HEADER ASSEMBLY	1	X
																									
																							PROOFED		
