-11	DRAWING	TITLE	FIND	STRIKE
X	1005750	INTERCONNECTION DIAGRAM	REF	
				
				
1.5	'1010416-20	WIRE,ELECTRICAL	22	
1	'1010416-19	WIRE,ELECTRICAL	21	X
0.5	'1010416-187	WIRE,ELECTRICAL	20	
0.5	'1010416-123	WIRE,ELECTRICAL	19	
0.5	'1010416-178	WIRE,ELECTRICAL	18	
0.5	'1010416-169	WIRE,ELECTRICAL	17	
0.5	'1010416-149	WIRE,ELECTRICAL	16	
0.5	'1010416-141	WIRE,ELECTRICAL	15	
0.5	'1010416-147	WIRE,ELECTRICAL	14	
0.5	'1010416-160	WIRE,ELECTRICAL	13	
0.5	'1010416-15	WIRE,ELECTRICAL	12	
0.04	1006322-103	SLEEVING, INSULATION	11	
0.04	1006322-078	SLEEVING, INSULATION	10	
0.04	1006322-028	SLEEVING, INSULATION	9	
1	1004856	INSULATOR, FRONT, ALARM DISPLAY	8	
3	1000242-1	FERRULE, ELECTRICAL	7	X
3	1000243-1	FERRULE, ELECTRICAL	6	X
1.5	1010778-1	WIRE, SHIELDED	5	X
3	1010416-10	WIRE, SHIELDED	4	X
0.5	1010416-11	WIRE, ELECTRICAL	3	
1	1004815	BOARD, INSULATOR	2	
1	1006745	INDICATOR E/L (ALARM)	1	
