FIND	QTY	TITLE	-1	-2	-3	-4	-5	-6	-7	-8	-9	-10	-11	-12	-13	-14	-15	-16	-17	-18
7	2	WASHER, FLAT	1005646-3	1005646-3	1005646-3	1005646-3	1005646-3	1005646-3	1005646-3	1005646-3	1005646-3	1005646-3	1005646-3	1005646-3	1005646-3	1005646-3	1005646-3	1005646-3	1005646-3	1005646-3
6	2	RING, RETAINING, EXTERNAL “E”	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015
5	2	WASHER, FLAT	1004546-1	1004546-1	1004546-1	1004546-1	1004546-1	1004546-1	1004546-1	1004546-1	1004546-1	1004546-1	1004546-1	1004546-1	1004546-1	1004546-1	1004546-1	1004546-1	1004546-1	1004546-1
4	2	SCREW, JACKING	10054579-1	10054579-1	10054579-1	10054579-1	10054579-1	10054579-1	10054579-1	10054579-1	10054579-1	10054579-1	10054579-1	10054579-1	10054579-1	10054579-1	10054579-1	10054579-1	10054579-1	10054579-1
3	1	MICRO LOGIC MODULE SUB-ASSY (EVEN)	'103813-2	'103813-3	'103813-4	'103813-5	'103813-6	'103813-7	'103813-8	'103813-9	'103813-10	'103813-11	'103813-12	'103813-13	'103813-14	'103813-15	'103813-16	'103813-17	'103813-18	'103813-19
2	1	MICRO LOGIC MODULE SUB-ASSY (ODD)	'103814-2	'103814-3	'103814-4	'103814-5	'103814-6	'103814-7	'103814-8	'103814-9	'103814-10	'103814-11	'103814-12	'103814-13	'103814-14	'103814-15	'103814-16	'103814-17	'103814-18	'103814-19
1	1	HEADER HOUSING ASSEMBLY	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110	1003110
																				
REF	X	LOGIC FLOW DIAGRAM	1006543	1006542	1006556	1006553	1006545	1006555	1006554	1006549	1006544	1006552	1005763	1006548	1006546	1006547	1006541	1006557	1006550	1006551
REF	X	WIRING DIAGRAM	1006123	1006122	1006136	1006133	1006125	1006135	1006134	1006129	1006124	1006132	1005761	1006128	1006126	1006127	1006121	1006137	1006130	1006131
																				
		PROOFED																		
