-21	-11	DRAWING	TITLE	FIND
X	X	1006144	SCHEMATIC	REF
512		1006320-001	CORE, MAGNETIC	15
2	2	1000093-2	SCREW, BUTTON HD	14
AR	AR	1006776-22	SLEEVING	13
	1	1003135-011	HEADER, ASSY	12
2	2	1004237	WASHER, FLAT	11
AR	AR	1006275-1	WIRE, ELECTRICAL	10
AR	AR	1006757-1	WIRE, 010 X 020	9
256	256	1006751	DIODE	8
128	128	1006750-39	RESISTOR, FIXED 2K	7
1	1	1003134	TERMINAL BOARD ASSEMBLY	6
	512	1006298-1	CORE, MAGNETIC	5
1	1	1004235-3	INSULATOR	4
4	4	1004233	HOLDER, CORE	3
1	1	1004232	HOLDER, COMPONENT	2
1		1003135	HEADER ASSEMBLY	1
				
			PROOFED	
