-11	DRAWING	TITLE	FIND
0.2	MIL-I-631 TYPE F, FORM Ua, GRADE A, CLASS 1, CATEGORY 1, AWG 3	INSULATION, ELEC	53
AR	MIL-T-23594 TYPE I, WIDTH 1/2 	TAPE, PRESSURE SENSITIVE	52
1	1000243-31	FERRULE, ELEC	51
1	1010400-5	CLAMP, CABLE	50
1	MS25036-12	TERMINAL, LUG	49
1	MS25036-11	TERMINAL, LUG	48
1	MS18035-1-2	STRAP, CABLE	47
AR	MIL-S-22473 GRADE C	SEALING COMPOUND	46
1	1004782-002	ADAPTER, CONNECTOR	45
1	1003562-011	TERMINAL BLOCK ASSEMBLY	44
2	MS35333-70	WASHER, LOCK	43
2	1006783-19	SCREW, BUTTON HD	42
9	1006783-18	SCREW, BUTTON HD	41
1	1004868	COVER	40
AR	1012507-003	TAPE, LACING	39
6.5	1006322-007	INSULATION SLEEVE	38
732	1010738-5	CONTACT, ELEC, PIN	37
15	1010402-2	SLEEVE, SOLDER	36
2	1010402-3	SLEEVE, SOLDER	35
1	MS16995-2	SCREW, CAP	34
1	1004781-002	CLAMP, CONNECTOR	33
1	1010771-013	CONNECTOR, PLUG	32
3	1010812-1	SEAL, RUBBER	31
1	1010815-244	CONNECTOR, PLUG	30
2	1010815-144	CONNECTOR, PLUG	29
1	1003731-011	CONNECTOR ASSEMBLY	28
6	QQ-B-575 BRAID SIZE 3/8 AWG 34	WIRE, BRAID	27
4	QQ-B-575 BRAID SIZE 1/2 AWG 34	WIRE, BRAID	26
8	QQ-B-575 BRAID SIZE 1/4 AWG 36	WIRE, BRAID	25
3	QQ-B-575 BRAID SIZE 1/8 AWG 36	WIRE, BRAID	24
2	1000242-33	FERRULE, ELEC	23
4	1000242-29	FERRULE, ELEC	22
2	1000242-27	FERRULE, ELEC	21
2	1000242-36	FERRULE, ELEC	20
2	1000242-30	FERRULE, ELEC	19
3	1000242-38	FERRULE, ELEC	18
1	1006384-003	FERRULE, ELEC	17
2	1000243-37	FERRULE, ELEC	16
3	1000243-22	FERRULE, ELEC	15
2	1000243-21	FERRULE, ELEC	14
2	1000243-40	FERRULE, ELEC	13
2	1000243-34	FERRULE, ELEC	12
2	1000243-38	FERRULE, ELEC	11
20	1010789-001	WIRE, ELEC. AWG 24 (YEL)	10
4	1010789-003	WIRE, ELEC. AWG 24 (2 COND TWIST)	9
10	1010789-015	WIRE, ELEC. AWG 26 (2 COND SHLD)	8
10	1010789-004	WIRE, ELEC. AWG 24 (3 COND TWIST)	7
4	1010789-005	WIRE, ELEC. AWG 24 (4 COND TWIST)	6
30	1010789-006	WIRE, ELEC. AWG 22 (YEL)	5
20	1010416-13	WIRE, ELEC. AWG 26 (RED)	4
20	1010789-007	WIRE, ELEC. AWG 22 (BLK)	3
250	1010789-017	WIRE, ELEC. AWG 26 (2 COND TWIST)	2
280	1010416-15	WIRE, ELEC. AWG 26 (YEL)	1
			
		PROOFED	
