0	DRAWING	TITLE	FIND	STRIKE
X	1010009	SCHEMATIC	REF	
				
AR	1006776-22	INSULATION, SLEEVING	26	
3	1006784-6	TERMINAL, FEEDTHRU	25	
AR	1006776-20	INSULATION, SLEEVING	24	
4	1000093-3	SCREW, BUTTON HD	23	
13	1006782-4	CONTACT, WRAPOST MALE MIN	22	
13	1006775	INSULATOR, WRAPOST MALE MIN	21	
AR	1006757-8	WIRE, ELEC .020 DIA	20	
AR	-1	WIRE, ELEC .010 X .020	19	
AR	1006776-21	INSULATION, SLEEVING	18	
1	SEE DRAWING NOTE 11	CAPACITOR	17	
1	SEE DRAWING NOTE 14	RESISTOR, WW	16	
1	SEE DRAWING NOTE 13	RESISTOR, WW	15	
1	SEE DRAWING NOTE 12	RESISTOR, WW	14	
1	1010373-8	RESISTOR, VARIABLE	13	
1	SEE DRAWING NOTE 11	CAPACITOR	12	
2	1010289-18	CAPACITOR	11	
1	1010834-12	RESISTOR, WW	10	
2	1010250-1	RESISTOR, WW	9	
1	SEE DRAWING NOTE 14	RESISTOR, WW	8	
1	1010283-18	RESISTOR, WW	7	
1	SEE DRAWING NOTE 10	RESISTOR	6	
2	1010262-2	RESISTOR, WW	5	
1	1010373-9	RESISTOR, VARIABLE	4	
1	1008018-2	INSULATOR, BOTTOM	3	X
1	1008018-1	INSULATOR, TOP	2	
1	1008013	HEATSINK	1	
				
		PROOFED		
