0	DRAWING	TITLE	FIND
X	1010013	SCHEMATIC	REF
			
AR	1006776-20	INSULATION SLEEVING	59
AR	-21	INSULATION SLEEVING	58
21	1006775	INSULATOR, WRAPOST – MALE, MIN	57
AR	1006776-22	INSULATION SLEEVING	56
AR	1006757-8	WIRE ELEC .020 DIA	55
AR	-1	WIRE ELEC .010 X .020	54
10	1010292-2	TERMINAL FEEDTHRU INSULATED	53
21	1006782-4	CONTACT, WRAPOST – MALE, MIN	52
5	1010376-1	TRANSISTOR	51
3	1010395	TRANSISTOR	50
14	1010385	DIODE	49
1	1010830-9	DIODE	48
1	1006777-19	CAPACITOR	47
1	1006755-79	CAPACITOR	46
1	-83	CAPACITOR	45
2	1006777-8	CAPACITOR	44
1	-11	CAPACITOR	43
1	-15	CAPACITOR	42
2	-17	CAPACITOR	41
3	-24	CAPACITOR	40
2	1006755-69	CAPACITOR	39
2	1006777-5	CAPACITOR	38
			37
4	-31	CAPACITOR	36
1	-28	CAPACITOR	35
2	-27	CAPACITOR	34
2	1010264-23	CAPACITOR	33
2	1006777-3	CAPACITOR	32
2	1006750-63	RESISTOR	31
1	-24	RESISTOR	30
1	-45	RESISTOR	29
1	-12	RESISTOR	28
1	-46	RESISTOR	27
1	-36	RESISTOR	26
2	-51	RESISTOR	25
2	-60	RESISTOR	24
2	-66	RESISTOR	23
10	-56	RESISTOR	22
2	-73	RESISTOR	21
4	-49	RESISTOR	20
4	-39	RESISTOR	19
2	-54	RESISTOR	18
2	-55	RESISTOR	17
2	-65	RESISTOR	16
4	-80	RESISTOR	15
4	-53	RESISTOR	14
3	-31	RESISTOR	13
2	-41	RESISTOR	12
4	-25	RESISTOR	11
2	-43	RESISTOR	10
1	1010377-51	RESISTOR	9
1	-106	RESISTOR	8
1	1006750-42	RESISTOR	7
2	1010377-105	RESISTOR	6
2	-49	RESISTOR	5
5	1006750-32	RESISTOR	4
1	1008037-2	INSULATOR, BOTTOM	3
1	-1	INSULATOR, TOP	2
1	1008036	HEATSINK	1
			
		PROOFED	
