0	DRAWING	TITLE	FIND	STRIKE
2	1006777-1	CAPACITOR	50	
X	1010043	SCHEMATIC	REF	
2	1006777-16	CAPACITOR	49	
1	1006750-40	RESISTOR	48	
1	1010372-6	DIODE	47	
2	1006781-1	CONTACT, WRAPOST FEMALE MIN	46	X
2	1008256	POLARIZING PIN	45	
AR	1006776-22	INSULATION SLEEVING	44	
AR	-21	INSULATION SLEEVING	43	
6	1006782-4	CONTACT, WRAPOST MALE MIN	42	
16	1006775	INSULATOR, WRAPOST MALE MIN	41	
2	1000093-3	SCREW, BOTTOM HEAD	40	
1	MS35650-104	NUT, PLAIN, HEX	39	
1	1008020-1	WASHER, FLAT	38	
2	1008024-1	WASHER, IN	37	
AR	1006757-8	WIRE, ELEC, .020 DIA	36	
AR	-1	WIRE, ELEC, .010 X .020	35	
2	1008025-1	INSULATOR, BUSHING	34	
1	1008021-1	INSULATOR, BUSHING	33	
AR	1006776-20	INSULATION SLEEVING	32	
			31	
3	1010376-4	TRANSISTOR	30	
1	1010269-1	TRANSISTOR	29	
2	1010357-1	TRANSISTOR	28	
2	1010388-39	INDUCTOR	27	
3	1010394	DIODE	26	
1	1010830-20	DIODE, ZENER	25	
2	1010833-1	DIODE	24	
4	1010385	DIODE	23	
2	1006777-24	CAPACITOR	22	
2	-33	CAPACITOR	21	
1	1010393-039	CAPACITOR	20	
1	1006755-73	CAPACITOR	19	
2	1006777-13	CAPACITOR	18	
1	1006750-15	RESISTOR	17	
2	-56	RESISTOR	16	
2	-53	RESISTOR	15	X
2	1010369-87	RESISTOR	14	
1	1006750-78	RESISTOR	13	
4	-53	RESISTOR	12	
1	-1	RESISTOR	11	
4	-67	RESISTOR	10	
4	-81	RESISTOR	9	
2	1010389-80	RESISTOR	8	
1	1010364-557	RESISTOR	7	
1	1010373-10	RESISTOR	6	
1	1010364-635	RESISTOR	5	
1	-683	RESISTOR	4	
1	1008055-1	INSULATOR, TOP	3	
1	-2	INSULATOR, BOTTOM	2	
1	1007035	HEATSINK	1	
				
		PROOFED		
