0	DRAWING	TITLE	FIND
X	1010127	SCHEMATIC	REF
			
1	1010385	DIODE	28
AR	1006776-21	INSULATION, SLEEVING, ELEC	27
AR	1006787-2	WIRE, ELECTRICAL	26
AR	1006757-1	WIRE, ELECTRICAL	25
2	MS35338-78	WASHER, LOCK	24
2	MS15795-303	WASHER, FLAT	23
2	1008069-3	SCREW, SOC HD, EXT RELIEVED BODY	22
1	1010364	RESISTOR (SEE DRAWING NOTE 6)	21
1	1006750-77	RESISTOR	20
2	-56	RESISTOR	19
1	-49	RESISTOR	18
1	-39	RESISTOR	17
1	-36	RESISTOR	16
2	-32	RESISTOR	15
1	-8	RESISTOR	14
1	1010393-043	CAPACITOR	13
1	1006755-77	CAPACITOR	12
1	1010372-8	DIODE	11
4	1010362-2	DIODE	10
1	1010286-11	DIODE	9
1	1010408	TRANSISTOR	8
1	1010397-001	TRANSISTOR	7
1	1010357	TRANSISTOR	6
1	1010318-2	CONNECTOR	5
2	1008067	SPACER, INSULATOR	4
1	1008063	WIRING BOARD, BOTTOM	3
1	1008062	WIRING BOARD, TOP	2
1	1021720	HOUSING, INSEPARABLE ASSY	1
			
		PROOFED	
