0	DRAWING	TITLE	FIND
X	1014500	SCHEMATIC	REF
			
AR	1006776-21	INSULATION, SLEEVING, ELEC	26
AR	1006787-2	WIRE, ELECTRICAL	25
AR	1006757-1	WIRE, ELECTRICAL	24
2	MS35338-78	WASHER, LOCK	23
2	MS15795-303	WASHER, FLAT	22
2	1008069-3	SCREW, SOC HD, EXT RELIEVED BODY	21
1	1006760-38	RESISTOR	20
1	1006750-80	RESISTOR	19
1	1006750-72	RESISTOR	18
1	1006750-55	RESISTOR	17
2	1006750-3	RESISTOR	16
2	1006750-8	RESISTOR	15
1	1010279-250	CAPACITOR	14
2	1010279-249	CAPACITOR	13
2	1006755-89	CAPACITOR	12
1	1010372-19	DIODE	11
2	1010397-001	TRANSISTOR	10
2	1010367	TRANSISTOR	9
1	1010454	TRANSFORMER	8
1	1010315-1	TRANSFORMER	7
1	1010291-5	TRANSFORMER	6
1	1010318-2	CONNECTOR	5
2	1008068	SPACER	4
1	1008081	WIRING BOARD, BOTTOM	3
1	1008080	WIRING BOARD, TOP	2
1	1021721	HOUSING ASSEMBLY	1
			
		PROOFED	
