0	DRAWING	TITLE	FIND
X	1014623	SCHEMATIC	REF
			
AR	1006776-21	INSULATION, SLEEVING, ELEC	16
AR	1006787-2	WIRE, ELECTRICAL	15
AR	1006757-1	WIRE, ELECTRICAL	14
4	MS35338-78	WASHER, LOCK	13
4	MS15795-303	WASHER, FLAT	12
4	1008069-2	SCREW, SOC HD, EXT RELIEVED BODY	11
11	1010392	DIODE	10
14	1010362-3	DIODE	9
1	1006772-3	RELAY	8
12	1010353-4	RELAY	7
1	1010615-2	CONNECTOR	6
4	1008112	SPACER, INSULATED	5
1	1008091	WIRING BOARD, BOTTOM	4
1	1008111-2	WIRING BOARD, TOP	3
1	1008111-1	WIRING BOARD, TOP	2
1	1008082	HOUSING	1
			
		PROOFED	
