FIND	0	DRAWING	TITLE
REF	X	1010024	SCHEMATIC
66	AR	MIL-I-631	INSULATION SLEEVING #22
65	1	1006750-75	RESISTOR
64	AR	1006776-20	INSULATION SLEEVING, ELECTRICAL
63	1	1010279-9	CAPACITOR
62	1	1010264-12	CAPACITOR
61	1	1010264 SEE DRAWING NOTE 6	CAPACITOR
60	1	1010320-6	CAPACITOR
59	1	1010389-94	RESISTOR
58	1	1010399-16	RESISTOR
57	1	1010389-47	RESISTOR
56	1	1010399-31	RESISTOR
55	1	1010279-228	CAPACITOR
54	2	1008024-2	WASHER, INSULATOR
53	20	1006775	INSULATOR
52	20	1006782-5	CONTACT
51	2	MS20341-416B	NUT
50	2	MS20341-10B	NUT
49	2	1008025-2	BUSHING, INSULATOR
48	2	1008021-1	BUSHING, INSULATOR
47	2	-2	BUSHING, INSULATOR
46	2	1008024-3	WASHER, INSULATOR
45	2	-4	WASHER, INSULATOR
44	2	1008071-5	WASHER, FLAT
43	2	1008024-1	WASHER, INSULATOR
42	2	1008071-2	WASHER, FLAT
41	AR	1006757-8	WIRE, ELECTRICAL
40	AR	1006776-22	INSULATION SLEEVING, ELECTRICAL
39	AR	1006757-1	WIRE, ELECTRICAL
38	1	1010328	TRANSFORMER
37	1	1010327	TRANSFORMER
36	1	1010277-9	REACTOR
35	1	-8	REACTOR
34	1	1010273-1	TRANSISTOR
33	1	1010437	TRANSISTOR
32	1	1010271	TRANSISTOR
31	1	1010269-1	TRANSISTOR
30	1	1010270	TRANSISTOR
29	1	1008813-1	TRANSISTOR
28	1	1010252-1	TRANSISTOR
27	1	1010830-9	SEMICONDUCTOR DEVICE, DIODE
26	2	1010372-15	SEMICONDUCTOR DEVICE, DIODE
25	6	1010392-1	SEMICONDUCTOR DEVICE, DIODE
24	1	1010320-11	CAPACITOR
23	1	1010279-220	CAPACITOR
22	1	1010264-9	CAPACITOR
21	2	1010278-39	RESISTOR
20	2	1010377-66	RESISTOR
19	1	1010364-43	RESISTOR
18	1	-719	RESISTOR
17	1	-465	RESISTOR
16	1	-635	RESISTOR
15	4	-443	RESISTOR
14	1	1006760-35	RESISTOR
13	1	1006750-40	RESISTOR
12	1	-53	RESISTOR
11	2	-51	RESISTOR
10	1	-70	RESISTOR
9	1	-44	RESISTOR
8	1	-60	RESISTOR
7	1	-48	RESISTOR
6	2	-80	RESISTOR
5	5	-73	RESISTOR
4	AR	1006776-21	INSULATION SLEEVING, ELECTRICAL
3	1	1015687	INSULATOR
2	1	1015686	INSULATOR
1	1	1015685	HEATSINK
			
			PROOFED
