FIND	0	DRAWING	TITLE	STRIKE
50	1	1010966-1	TRANSISTOR	
REF	X	1010025	SCHEMATIC	
49	AR	1006776-20	INSULATION SLEEVING, ELECTRICAL	
48	2	MS35338-81	WASHER, LOCK	
47	2	1008070-9	WASHER, FLAT	
46	1	MS35338-78	WASHER, LOCK	
45	1	1008070-5	WASHER, FLAT	
44	1	MS35234-22	SCREW, PAN HEAD	
43	AR	1006776-22	INSULATION, SLEEVING	
42	AR	-21	INSULATION, SLEEVING	
41	AR	1006757-9	WIRE .032 DIA	
40	AR	-8	WIRE .020 DIA	
39	AR	-1	RIBBON .010 X .020	
38	1	1010339	TRANSFORMER	
37	1	1010323	TRANSFORMER	
36	2	1010398-2	TRANSISTOR	
35	1	1010376-4	TRANSISTOR	
34	1	1010273-2	TRANSISTOR	
33	1	1006782	TRANSISTOR	X
32	6	1010385	SEMICONDUCTOR DEVICE, DIODE	
31	2	1010322-001	SEMICONDUCTOR DEVICE, DIODE	
30	1	1010372-22	SEMICONDUCTOR DEVICE, DIODE	
29	2	1010410-13	CAPACITOR	
28	5	1010438-1	CAPACITOR	
27	1	1006789-002	CAPACITOR	
26	2	1006777-30	CAPACITOR	
25	2	1010316-40	CAPACITOR	
24	2	1010369-141	RESISTOR	
23	2	1010364-381	RESISTOR	
22	2	1010363-557	RESISTOR	
21	2	1006750-74	RESISTOR	
20	1	-66	RESISTOR	
19	3	-56	RESISTOR	
18	1	-49	RESISTOR	
17	2	-19	RESISTOR	
16	2	1008025-2	INSULATOR, BUSHING	
15	1	-1	INSULATOR, BUSHING	
14	2	1008021-2	BUSHING, INSULATOR	
13	2	1008071-5	WASHER, FLAT	
12	2	1008024-4	WASHER, INSULATOR	
11	2	-3	WASHER, INSULATOR	
10	2	MS20341-416B	NUT	
9	2	MS20341-10B	NUT	
8	1	MS20341-4A	NUT	
7	10	1006775	INSULATOR	
6	10	1006782-5	CONTACT, WRAPOST – MALE	
5	1	1015697	INSULATOR	X
4	1	1015696	INSULATOR	X
3	1	1015695	INSULATOR	X
2	1	1015694	INSULATOR	X
1	1	1015693	HEATSINK	
				
			PROOFED	
