FIND	0	DRAWING	TITLE
REF	X	1010047	SCHEMATIC, ELECTRICAL
			
52	AR	1006776-22	INSULATION SLEEVING, ELEC
51	6	1008025-1	BUSHING, INSULATOR
50	1	1010364-559	RESISTOR
49	AR	1006757-1	WIRE, NICKEL RIBBON .010 X .020
48	AR	1006776-20	SLEEVING, ELECT INSULATION
47	12	1006782-5	CONTACT, WRAPOST – MALE – MINIATURE
46	12	1006775	INSULATOR, WRAPOST – MALE – MINIATURE
45	AR	1006776-21	SLEEVING, ELECT INSULATION
44	AR	1006757-8	WIRE FEED THROUGH
43	1	1010309-8	REACTOR
42	1	-3	REACTPR
41	1	1010431	TRANSISTOR
40	6	1010397-1	TRANSISTOR
39	1	1010291-1	TRANSFORMER
38	13	1010385	SEMICONDUCTOR DEVICE, DIODE
37	1	1010346-1	SEMICONDUCTOR DEVICE, DIODE
36	1	1010830-11	SEMICONDUCTOR DEVICE, DIODE
35	2	1010410 SEE DRAWING TABLE C	CAPACITOR
34	1	1010264 SEE DRAWING TABLE B	CAPACITOR
33	1	1010264-29	CAPACITOR
32	1	-21	CAPACITOR
31	1	-17	CAPACITOR
30	2	1006793-007	CAPACITOR
29	1	1006755-81	CAPACITOR
28	1	-69	CAPACITOR
27	1	-64	CAPACITOR
26	1	-31	CAPACITOR
25	1	1010369-140	RESISTOR
24	2	-95	RESISTOR
23	1	-88	RESISTOR
22	1	1010364 SEE DRAWING TABLE A	RESISTOR
21	2	1010364-693	RESISTOR
20	1	-403	RESISTOR
19	1	-251	RESISTOR
18	2	1010363-351	RESISTOR
17	1	1010278-56	RESISTOR
16	2	1006750-76	RESISTOR
15	1	-73	RESISTOR
14	3	-72	RESISTOR
13	1	-62	RESISTOR
12	2	-60	RESISTOR
11	3	-56	RESISTOR
10	2	-52	RESISTOR
9	2	-48	RESISTOR
8	1	-44	RESISTOR
7	2	-42	RESISTOR
6	1	-40	RESISTOR
5	1	-32	RESISTOR
4	1	-19	RESISTOR
3	1	1015728	INSULATOR, LOWER
2	1	1015727	INSULATOR, UPPER
1	1	1015726	HEATSINK
			
			PROOFED
