FIND	0	DRAWING	TITLE	STRIKE
REF	X	1010048	SCHEMATIC	
				
42	2	1006750-17	RESISTOR	
41	2	1000093-14	SCREW	
40	1	1010264-21	CAPACITOR	
39	AR	MIL-I-15126 TYPE MFT 1/2 WIDE	INSULATION TAPE, ELECT	
38	AR	1006776-20	INSULATION, SLEEVING, ELECT	
37	AR	-21	INSULATION, SLEEVING, ELECT	
36	AR	-22	INSULATION, SLEEVING, ELECT	
35	AR	1006757-9	WIRE, ELEC	
34	AR	-8	WIRE, ELEC	
33	AR	-1	WIRE, ELEC	
32	1	1010337	TRANSFORMER	
31	1	1010324	TRANSFORMER	
30	1	1010269-2	TRANSISTOR	
29	1	1008813-3	TRANSISTOR	
28	1	1010431	TRANSISTOR	
27	1	1010278-80	RESISTOR	
26	1	-8	RESISTOR	
25	1	1006750-73	RESISTOR	
24	1	-49	RESISTOR	
23	2	-12	RESISTOR	
22	2	-26	RESISTOR	
21	2	-1	RESISTOR	
20	2	1010364-385	RESISTOR	
19	1	-335	RESISTOR	
18	1	-381	RESISTOR	
17	1	-251	RESISTOR	
16	1	1010364 SEE DRAWING TABLE A	RESISTOR	
15	1	1010829-3	SEMICONDUCTOR DEVICE, DIODE	
14	1	1010372-16	SEMICONDUCTOR DEVICE, DIODE	
13	2	1010264-29	CAPACITOR	
12	2	1010410-9	CAPACITOR	
11	2	1008025-2	INSULATOR, BUSHING	
10	2	1008021-1	BUSHING, INSULATOR	
9	2	1008071-4	WASHER, FLAT	
8	2	1008024-2	WASHER, INSULATOR	
7	2	-1	WASHER, INSULATOR	
6	2	MS20341-10B	NUT	
5	10	1006775	INSULATOR	
4	10	1006782-5	CONTACT, WRAPOST – MALE	
3	1	1015722	INSULATOR	X
2	1	1015721	INSULATOR	X
1	1	1015720	HEATSINK	
				
			PROOFED	
