FIND	0	DRAWING	TITLE	STRIKE
REF	X	1010049	SCHEMATIC	
				
31	1	1010338-001	TRANSFORMER	
30	AR	1006776-20	INSULATION SLEEVING	
29	AR	1006757-1	WIRE ELEC - .010 X .020	
28	AR	1006776-21	INSULATION SLEEVING	
27	AR	1006757-8	WIRE, ELEC - .020 DIA.	
26	AR	1006776-22	INSULATION SLEEVING	
25	2	1008070-75	WASHER, FLAT	
24	7	1006782-5	CONTACT, WRAPOST MALE MIN	
23	7	1006775	INSULATOR, WRAPOST MALE MIN	
22	2	1000093-13	SCREW, BUTTON HEAD	
21	2	1008025-2	INSULATOR, BUSHING	
20	2	MS20341-10B	HEX, NUT	
19	2	1008071-4	WASHER, FLAT	
18	2	1008024-1	WASHER, INSULATOR	
17	2	-2	WASHER, INSULATOR	
16	2	1008021-1	BUSHING, INSULATOR	
15	1	1010338	TRANSFORMER	X
14	1	1010329	TRANSFORMER, AUDIO	
13	1	1010269-2	TRANSISTOR	
12	1	1010398-4	TRANSFORMER	
11	2	1006750-1	RESISTOR	
10	1	1010312-029	RESISTOR	
9	1	1006750-51	RESISTOR	
8	2	1010385	DIODE, SEMI-CONDUCTOR DEVICE	
7	1	1006789-2	CAPACITOR	
6	2	1010264-1	CAPACITOR	
5	1	1006755-65	CAPACITOR	
4	1	1015707	INSULATOR	X
3	1	1015706	INSULATOR	X
2				
1	1	1015708	HEATSINK	
				
			PROOFED	
