FIND	0	DRAWING	TITLE
REF	X	1010044	SCHEMATIC, ELEC
52	AR	1006776-20	INSULATION SLEEVING, ELEC.
51	AR	-21	INSULATION SLEEVING, ELEC.
50	AR	1006757-8	WIRE, ELECT .020 DIA
49	AR	1006776-22	INSULATION SLEEVING, ELEC.
48	AR	1006757-1	WIRE ELECT .010 X .020
47	9	1006782-5	CONTACT, WRAPOST MALE MIN
46	9	1006775	INSULATOR, WRAPOST MALE MIN
45	1	1010375-19	CAPACITOR, FIXED
44	1	-18	CAPACITOR, FIXED
43	1	1010264-35	CAPACITOR, FIXED
42	2	-7	CAPACITOR, FIXED
41	1	1010277-004	REACTOR
40	1	1010427	REACTOR
39	1	1010431	TRANSISTOR
38	6	1010397-1	TRANSISTOR
37	1	1010346-1	SEMICONDUCTOR DEVICE DIODE
36	1	1010372-22	SEMICONDUCTOR DEVICE DIODE
35	13	1010385	SEMICONDUCTOR DEVICE DIODE
34	1	1010363-373	RESISTOR, FIXED
33	1	1010389-49	RESISTOR, FIXED
32	1	1010369-140	RESISTOR, FIXED
31	1	-95	RESISTOR, FIXED
30	1	-94	RESISTOR, FIXED
29	1	-88	RESISTOR, FIXED
28	1	1006750-80	RESISTOR, FIXED
27	2	-76	RESISTOR, FIXED
26	2	-73	RESISTOR, FIXED
25	1	-72	RESISTOR, FIXED
24	1	-60	RESISTOR, FIXED
23	3	-56	RESISTOR, FIXED
22	2	-52	RESISTOR, FIXED
21	2	-48	RESISTOR, FIXED
20	1	-43	RESISTOR, FIXED
19	1	-42	RESISTOR, FIXED
18	2	-40	RESISTOR, FIXED
17	1	-39	RESISTOR, FIXED
16	1	-32	RESISTOR, FIXED
15	2	1010364-693	RESISTOR, FIXED
14	1	-465	RESISTOR, FIXED
13	2	-351	RESISTOR, FIXED
12	1	-387	RESISTOR, FIXED
11	1	1010364 SEE DRAWING NOTE 7	RESISTOR, FIXED
10	2	1010264 SEE DRAWING NOTE 7	CAPACITOR, FIXED
9	1	1010264 SEE DRAWING NOTE 7	CAPACITOR, FIXED
8	6	1008025-1	INSULATOR, BUSHING
7	1	1006755-85	CAPACITOR, FIXED
6	1	-81	CAPACITOR, FIXED
5	1	-69	CAPACITOR, FIXED
4	1	-61	CAPACITOR, FIXED
3	1	1015716	INSULATOR
2	1	1015715	INSULATOR
1	1	1015714	HEATSINK
			
			PROOFED
