-4	-3	-2	-1	QTY	TITLE	FIND
1010042	1010042	1010042	1010042	X	SCHEMATIC	REF
						
1010432-4	1010432-3	1010432-2	1010432-1	1	CAPACITOR	8
1010262-6	1010262-5	1010262-4	1010262-3	1	RESISTOR, FIXED	7
1006757-1	1006757-1	1006757-1	1006757-1	AR	WIRE, ELECTRICAL	6
1006776-22	1006776-22	1006776-22	1006776-22	AR	INSULATION, SLEEVING ELECT.	5
1006776-21	1006776-21	1006776-21	1006776-21	AR	INSULATION, SLEEVING ELECT.	4
1006782-5	1006782-5	1006782-5	1006782-5	9	CONTACT, WRAPOST	3
1006775	1006775	1006775	1006775	9	INSULATOR, WRAPOST	2
1008073	1008073	1008073	1008073	1	HEATSINK	1
						
					PROOFED	
