0	DRAWING	TITLE	FIND	STRIKE
X	1010052	SCHEMATIC	REF	
				
2	1010398-3	TRANSISTOR	67	
AR	1006757-8	WIRE ELEC .020 DIA	66	
AR	1006776-22	INSULATION SLEEVING ELEC	65	
AR	1006757-1	WIRE ELEC .010 X .020	64	
AR	1006776-21	INSULATION SLEEVING	63	
18	1006775	INSULATOR, WRAPOST – MALE, MIN	62	
18	1006782-5	CONTACT, WRAPOST, MALE, MIN	61	
AR	1006776-20	INSULATION SLEEVING	60	
AR	1006757-9	WIRE ELEC .032 DIA	59	
1	1008094-1	INSULATOR	58	
1	-2	INSULATOR	57	X
3	1010292-2	TERMINAL, FEEDTHRU	56	
6	1008024-2	WASHER, INSULATOR	55	
3	1008021-1	BUSHING, INSULATOR	54	
6	1008024-1	WASHER, INSULATOR	53	
3	1008071-2	WASHER	52	
3	MS20341-10B	NUT	51	
3	1008025-2	INSULATOR, BUSHING	50	
1	1010745	TRANSFORMER	49	
1	1010315-2	TRANSFORMER	48	
1	1010376-4	TRANSISTOR	47	
2	1010499-2	TRANSISTOR	46	
1	1010398-1	TRANSISTOR	45	
2	1010376-1	TRANSISTOR	44	
4	1010384	DIODE	43	
1	1010331-013	DIODE	42	
4	1010497	DIODE	41	
1	1008815-25	DIODE	40	
1	-9	DIODE	39	
6	1010385	DIODE	38	
1	1008815-5	DIODE	37	
1	1010460-1	CAPACITOR	36	
1	-2	CAPACITOR	35	
1	1010264-29	CAPACITOR	34	
2	1006755-89	CAPACITOR	33	
1	1006777-18	CAPACITOR	32	
1	1006755-79	CAPACITOR	31	
2	1010393-045	CAPACITOR	30	
2	1006777-30	CAPACITOR	29	
2	1010316-36	CAPACITOR	28	
2	1006777-16	CAPACITOR	27	
1	1006755-85	CAPACITOR	26	
1	1010278-80	RESISTOR	25	
1	1006750-77	RESISTOR	24	
1	1010389-48	RESISTOR	23	
1	1006750-67	RESISTOR	22	
1	1010369-93	RESISTOR	21	
1	1010278-94	RESISTOR	20	
2	1006802-1	RESISTOR	19	
2	1006750-31	RESISTOR	18	
2	-22	RESISTOR	17	
1	1010278-70	RESISTOR	16	
1	1006750-47	RESISTOR	15	
1	-50	RESISTOR	14	
1	-32	RESISTOR	13	
1	-63	RESISTOR	12	
5	-56	RESISTOR	11	
2	1010377-111	RESISTOR	10	
2	-110	RESISTOR	9	
2	1006750-74	RESISTOR	8	
1	-62	RESISTOR	7	
1	-12	RESISTOR	6	
1	-51	RESISTOR	5	
1	-65	RESISTOR	4	
1	1008093-2	INSULATOR	3	X
1	-1	INSULATOR	2	
1	1007069	HEATSINK	1	
				
		PROOFED		
