0	DRAWING	TITLE	FIND
X	1010041	SCHEMATIC	REF
			
AR	MIL-I-631	INSULATION, SLEEVING #22	36
AR	1006787-2	WIRE, ELEC	35
AR	1006757-1	WIRE, ELEC	34
AR	1006776-21	INSULATION, SLEEVING	33
11	1006782-4	CONTACT WRAPOST MALE MIN	32
11	1006775	INSULATOR, WRAPOST MALE MIN	31
9	1008025-1	INSULATOR, BUSHING	30
1	1010365	TRANSFORMER	29
2	1010344-1	TRANSFORMER	28
2	1010367	TRANSISTOR	27
6	1010343-1	TRANSISTOR	26
1	1010342	TRANSISTOR	25
1	1010362-2	DIODE	24
1	1010830-13	DIODE	23
2	1010372-18	DIODE	22
1	-8	DIODE	21
10	1010370	DIODE	20
2	1006755-57	CAPACITOR	19
1	1010359-29	CAPACITOR	18
1	-23	CAPACITOR	17
1	1010279-236	CAPACITOR	16
1	1010393-37	CAPACITOR	15
2	1006750-80	RESISTOR	14
1	-72	RESISTOR	13
1	-60	RESISTOR	12
1	-56	RESISTOR	11
2	-53	RESISTOR	10
3	-49	RESISTOR	9
2	-39	RESISTOR	8
6	-32	RESISTOR	7
2	-8	RESISTOR	6
1	1010369-105	RESISTOR	5
1	1010389-63	RESISTOR	4
1	1008076-1	INSULATOR, TOP	3
1	1008076-2	INSULATOR, BOTTOM	2
1	1007037	HEATSINK	1
			
		PROOFED	
