0	DRAWING	TITLE	FIND	STRIKE
X	1010051	SCHEMATIC	REF	
				
1	1006777-27	CAPACITOR	61	
1	1006750-31	RESISTOR	60	
1	1008096	INSULATOR, BOTTOM	59	
1	1008097	INSULATOR, TOP	58	
2	MS35649-44	NUT, PLAIN HEX	57	
2	MS35338-78	WASHER, LOCK	56	
2	MS15795-304	WASHER, FLAT	55	
AR	1006776-21	INSULATION, SLEEVING	54	
30	1006775	INSULATOR, WRAPOST MALE MIN	53	
AR	1006757-1	WIRE, ELECTRICAL	52	
AR	1006787-2	WIRE, ELECTRICAL	51	
5	1010292-001	TERMINAL, FEEDTHRU, INSULATED	50	
30	1006782-4	CONTACT, WRAPOST MALE MIN	49	
1	1010315-1	TRANSFORMER	48	
2	1006762	TRANSFORMER	47	
10	1010376-1	DIODE	46	
1	1010462-6	DIODE	45	
1	1010286-12	DIODE	44	
24	1010385	CAPACITOR	43	
1	1010393-021	CAPACITOR	42	
2	1010393-039	CAPACITOR	41	
1	1006777-33	CAPACITOR	40	
6	-26	CAPACITOR	39	
2	-16	CAPACITOR	38	
2	-20	CAPACITOR	37	
1	-15	CAPACITOR	36	
1	-19	CAPACITOR	35	
2	-14	CAPACITOR	34	
7	-24	CAPACITOR	33	
6	-31	CAPACITOR	32	
6	1006755-65	CAPACITOR	31	
1	-51	CAPACITOR	30	
1	1010353-1	RELAY	29	
3	1010369-104	RESISTOR	28	
1	-86	RESISTOR	27	X
1	-97	RESISTOR	26	
1	-98	RESISTOR	25	
6	-86	RESISTOR	24	
1	1006750-81	RESISTOR	23	
6	-56	RESISTOR	22	
3	-48	RESISTOR	21	
3	-19	RESISTOR	20	
1	-64	RESISTOR	19	
1	-62	RESISTOR	18	
1	-54	RESISTOR	17	
1	-1	RESISTOR	16	
4	-49	RESISTOR	15	
1	-25	RESISTOR	14	
6	-36	RESISTOR	13	
1	-41	RESISTOR	12	
2	-16	RESISTOR	11	
3	-52	RESISTOR	10	
7	-60	RESISTOR	9	
13	-63	RESISTOR	8	
1	-66	RESISTOR	7	
8	-80	RESISTOR	6	
5	-47	RESISTOR	5	
1	-15	RESISTOR	4	
1	-4	RESISTOR	3	
3	-73	RESISTOR	2	
1	1007039	HEATSINK	1	
				
		PROOFED		
