FIND	0	DRAWING	TITLE
REF	X	10100035	SCHEMATIC, ELECTRICAL
68	1	1010353 SEE DRAWING NOTE 15	CAPACITOR
67	AR	1006776-21	INSULATION, SLEEVING
66	1	1015699	INSULATOR, RELAY
65	2	1008021-1	INSULATOR, BUSHING
64	AR	1006787-2	WIRE, ELECTRICAL
63	AR	1006757-1	WIRE, ELECTRICAL
62	AR	1006776-22	INSULATION, SLEEVING
61	9	1008025-1	INSULATOR, BUSHING
60	2	MS35649-42	NUT, PLAIN HEX
59	2	MS35650-104	NUT, PLAIN HEX
58	2	MS35338-21	WASHER, LOCKING
57	2	MS15795-204	WASHER, PLAIN FLAT
56	2	1008020-1	WASHER, FLAT
55	4	1008024-1	WASHER, INSULATOR
54	25	1006775	INSULATOR, WRAPOST
53	25	1006782-5	CONTACT, WRAPOST
52	2	1010292-001	TERMINAL, FEED THRU
51	1	1010353-1	RELAY
50	1	1010365	TRANSFORMER
49	1	1010275	TRANSFORMER
48	4	1010397-001	TRANSISTOR
47	2	1010367	TRANSISTOR
46	3	1010357-1	TRANSISTOR
45	2	1010269-1	TRANSISTOR
44	1	1010372-24	DIODE
43	9	1010362-2	DIODE
42	1	1010393-029	CAPACITOR
41	2	1010359-29	CAPACITOR
40	1	1010379-232	CAPACITOR
39	1	1006755-85	CAPACITOR
38	1	-83	CAPACITOR
37	2	-81	CAPACITOR
36	1	-77	CAPACITOR
35	1	-73	CAPACITOR
34	5	-69	CAPACITOR
33	1	1010434-1	TERMISTOR
32	1	1010368-17	RESISTOR
31	1	1010364-670	RESISTOR
30	4	-636	RESISTOR
29	1	1010363-443	RESISTOR
28	2	1006802-1	RESISTOR
27	1	1006760-53	RESISTOR
26	1	1006750-79	RESISTOR
25	1	-80	RESISTOR
24	1	-73	RESISTOR
23	1	-72	RESISTOR
22	1	-71	RESISTOR
21	1	-69	RESISTOR
20	1	-68	RESISTOR
19	1	-66	RESISTOR
18	1	-64	RESISTOR
17	2	-63	RESISTOR
16	2	-56	RESISTOR
15	2	-53	RESISTOR
14	3	-52	RESISTOR
13	2	-49	RESISTOR
12	1	-48	RESISTOR
11	1	-45	RESISTOR
10	2	-44	RESISTOR
9	1	-42	RESISTOR
8	2	-39	RESISTOR
7	1	-36	RESISTOR
6	1	-25	RESISTOR
5	1	-13	RESISTOR
4	1	-10	RESISTOR
3	1	1015700-2	INSULATOR, BOTTOM
2	1	-1	INSULATOR, TOP
1	1	1015698	HEATSINK
			
			PROOFED
