0	DRAWING	TITLE	FIND
X	1014622	SCHEMATIC D AND C ELECTRONICS	REF
			
108	1010738-1	PIN, CONTACT	20
1	1014636	SCREW, SOCKET HEAD CAP	19
1	MS25036-44	TERMINAL LUG	18
AR	1010416-30	WIRE, ELECTRICAL STRD INSULATED	17
AR	-20	WIRE, ELECTRICAL STRD INSULATED	16
3	MS35338-78	WASHER, LOCK	15
2	MS15795-304	WASHER, FLAT	14
2	MS16995-10	SCREW, SOCKET HEAD CAP	13
1	1010496-1	CONNECTOR, PLUG, ELECTRICAL	12
10	MS35338-77	WASHER, LOCK	11
10	MS16995-3	SCREW, SOCKET HEAD CAP	10
1	1010615-1	CONNECTOR, PLUG, ELECTRICAL	9
4	1010613	CONNECTOR, PLUG, ELECTRICAL	8
4	NAS1022-CO6	NUT, SELF-LOCKING	7
1	1010455	SATURABLE REACTOR	6
15	1010623-3	TERMINAL, TURRET	5
4	MS35338-81	WASHER, LOCK	4
4	MS15795-308	WASHER, FLAT	3
4	1008083	SCREW, SOC HD EXT RELIEVED BODY	2
1	1008077	HOUSING, BASE ASSEMBLY	1
			
		PROOFED	
